Prompt;Response;Ground Truth
"The Woman in White
The Woman in White may refer to:

Lady in White (disambiguation)
Lady in White may refer to:

What Ever Happened to Baby Jane? (film)
Academy Award for Best Actress (Bette Davis, nominee) Academy Award for Best Supporting Actor (Victor Buono, nominee) Academy Award for Best Costume Design, Black and White (Norma Koch, winner) Academy Award for Best Cinematography, Black and White (Ernest Haller, nominee) Academy Award for Best Sound (Joseph D. Kelly, nominee) BAFTA Award for Best Foreign Actress (Crawford, nominee) BAFTA Award for Best Foreign Actress (Davis, nominee) Golden Globe Award for Best Actress - Motion Picture Drama (Davis, nominee) Golden Globe Award for Best Supporting Actor - Motion Picture (Buono, nominee) Laurel Award for Golden Laurel for Sleeper of the Year (Winner) Golden Palm -- 1963 Cannes Film Festival (nominee)

Which film has the director born first, Once A Gentleman or The Girl In White?";Once A Gentleman;Once A Gentleman
"Joan the Maid
Joan the Maid  is a two-part 1994 French historical film directed by Jacques Rivette. It chronicles the life of Joan of Arc. This film was released in two parts: Joan the Maid, Part 1: The Battles  and Joan the Maid, Part 2: The Prisons .

Who Saw Her Die?
Who Saw Her Die? is a 1972 Italian"" giallo"" film directed by Aldo Lado and Vittorio De Sisti, starring Anita Strindberg and George Lazenby. Lazenby and Strindberg play the parents of a murdered girl, who pursue her black- veiled killer throughout Venice. "" Who Saw Her Die?"" features music by Ennio Morricone, and has seen positive reviews for Lazenby's performance.

Joan of Arc (1900 film)
Joan of Arc is a 1900 French silent film directed by Georges Méliès, based on the life of Joan of Arc.

Which film has the director who died earlier, Il Seduttore or The Trial Of Joan Of Arc?";The director who died earlier is Georges Méliès (director of Joan of Arc - 1900 film).;The Trial Of Joan Of Arc
"Thomas Jefferson Medal
The Thomas Jefferson Medal may refer to several different awards named in honor of Thomas Jefferson:

Tom Brady (film director)
Thomas Adam Brady is an American writer, film director and producer.

Who Is Chris Rock?
Who Is Chris Rock? is a short film about the life of comedian Chris Rock directed by Michael J. Dennis. It showcased Rock and his mother talking about his life and work.

Where was the director of film Thomas Jefferson (Film) born?";Tom Brady;Brooklyn
"Grand Duke George of Russia
There have been several dynasts of Russian Imperial House whose name is George: Currently, also son of Maria Vladimirovna of Russia, uses the designation Grand Duke George Mikhailovitch of Russia.

Allied leaders of World War I
Nicholas II -- last Czar of Russia, titular King of Poland, and Grand Duke of Finland. His rule ended with the Russian Revolution. Nicholas was killed on 17 July 1918.

History of Russia
Peter the Great died in 1725, leaving an unsettled succession, but Russia had become a great power by the end of his reign.

Why did Grand Duke Kirill Vladimirovich Of Russia's wife die?";Influenza.;stroke
"Where's the Love (disambiguation)
"" Where's the Love"" is a 1997 song by Hanson. Where's the Love may also refer to:"" Where's the Love"" should not be confused with:

The Beat
The Beat may refer to:

Where Was I
"" Where Was I?"" may refer to:

Where was the place of death of the director of film Beat Girl?";London;Nice
"John Sheppard (VC)
Sheppard was 37 years old, and a Boatswain's Mate in the Royal Navy, serving with the Naval Brigade during the Crimean War when the following deed took place for which he was awarded the VC.

Richard Sheppard
Richard or Dick Sheppard may refer to:

Where's Jack?
Where's Jack? is a 1969 film recounting the exploits of notorious 18th-century criminal Jack Sheppard and London ""Thief-Taker General"" Jonathan Wild.

Who died first, Fleetwood Sheppard or George William Whitaker?";Fleetwood Sheppard.;Fleetwood Sheppard
"Il était une fois l’indépendance
Il était une fois l’indépendance is a 2009 Malian film.

Le Temps d'un film
Le Temps d'un film is a 2007 film.

List of films set in Marseille
Marseille has been the setting for many films, produced mostly in France or Hollywood.

Which film has the director born first, The Raven'S Dance or Keïta! L'Héritage Du Griot?";Keïta! L'Héritage Du Griot.;The Raven'S Dance
"Jean Martin (disambiguation)
Jean Martin may refer to:

Dean Paul Martin
Dean Paul Martin Jr. (November 17, 1951 – March 21, 1987) was an American pop singer and film and television actor. A member of the California Air National Guard, Martin died in a crash during a military training flight. Martin was the son of American entertainer Dean Martin.

Have Yourself a Merry Little Christmas
``Have Yourself a Merry Little Christmas ''Song by Judy Garland in the 1944 musical Meet Me in St. Louis Released 1944 (1944) Genre Traditional pop Composer (s) Hugh Martin Lyricist (s) Ralph Blane

When did Jean Martin (Singer)'s husband die?";March 21, 1987;1983
"The Last Ride of the Dalton Gang
The Last Ride of the Dalton Gang is a 1979 television film directed by Dan Curtis about the Dalton Gang. It is not entirely accurate, as noted at the film's beginning.

When the Daltons Rode
When the Daltons Rode is a 1940 American Western film directed by George Marshall and starring Randolph Scott, Kay Francis and Brian Donlevy. Based on the book"" When the Daltons Rode"" by Emmett Dalton, the sole surviving real- life gang member, and Jack Jungmeyer, the film is about a family friend of the Daltons who tries to dissuade them from becoming outlaws.

Les Dalton
Les Dalton means"" The Daltons"" in French. Les Dalton may refer to:

Which film has the director who died earlier, Tangled Destinies or The Daltons' Women?";Tangled Destinies;Tangled Destinies
"It's a Wonderful Life
Due to all the above actions, this is one of the few RKO films not controlled by Turner Entertainment / Warner Bros. in the USA. It is also one of two Capra films Paramount owns despite not having originally released it -- the other is Broadway Bill (originally from Columbia, remade by Paramount as Riding High in 1950).

Hot Dog…The Movie
Hot Dog … The Movie is a teen sex comedy ski film released in January 1984. The film went on to gross over$ 17 million.

Back to the Future
When the film was released on VHS in 1986, Universal added a ``To be continued... ''graphic at the end to increase awareness of production on Part II. This caption is omitted on the film's DVD release in 2002 and on subsequent Blu - ray and DVD releases.

Which film was released earlier, Moment Of Danger or The Ballad Of Josie?";Moment of Danger was released earlier.;Moment Of Danger
"Film manifesto
There have been a number of manifestos related to film. These propose the author/ s feelings and briefing on the how and why of film:

Academy of Motion Picture Arts and Sciences
The roster of the Academy's approximately 6,000 motion picture professionals is a ``closely guarded secret ''. While the great majority of its members are based in the United States, membership is open to qualified filmmakers around the world.

World Film Festival of Bangkok
The World Film Festival of Bangkok is an annual international film festival held between October& November in Bangkok, Thailand. The 14th World Film Festival of Bangkok, the last edition of World Film Festival of Bangkok, is held from January 23 to February 1, 2017.

What nationality is the director of film World And Time Enough?";Australian;United States
"Spectre (2015 film)
A sequel to Spectre will begin development in spring 2016. Sam Mendes has stated he will not return to direct the next 007 film. Christoph Waltz has signed on for two more films in the series, but his return depends on whether or not Craig will again portray Bond.

Samurai I: Musashi Miyamoto
The other two films in the trilogy are and.

78th Academy Awards
Philip Seymour Hoffman -- Capote as Truman Capote Terrence Howard -- Hustle & Flow as DJay Heath Ledger -- Brokeback Mountain as Ennis Del Mar Joaquin Phoenix -- Walk the Line as Johnny Cash David Strathairn -- Good Night, and Good Luck as Edward R. Murrow

Which film has the director died earlier, Poker In Bed or The Machine To Kill Bad People?";Poker In Bed.;The Machine To Kill Bad People
"Sarah Prefers to Run
Sarah Prefers to Run is a 2013 Canadian drama film written and directed by Chloé Robichaud. It was screened in the Un Certain Regard section at the 2013 Cannes Film Festival. It won the Women in Film& Television Vancouver Artistic Merit Award at the 2013 Vancouver International Film Festival.

Spectre (2015 film)
A sequel to Spectre will begin development in spring 2016. Sam Mendes has stated he will not return to direct the next 007 film. Christoph Waltz has signed on for two more films in the series, but his return depends on whether or not Craig will again portray Bond.

The Film That Changed My Life
The Film That Changed My Life( also known as"" The Film That Changed My Life: 30 Directors on Their Epiphanies in the Dark"") is a non-fiction collection of interviews compiled by American journalist, author and film columnist Robert K. Elder. The book presents interviews with thirty famous directors who share stories about the movies that affected their career paths and directing styles.

Which film whose director is younger, Heads I Win, Tails You Lose or The Incredible Sarah?";The Incredible Sarah;Heads I Win, Tails You Lose
"Catherine of Sweden, Countess Palatine of Kleeburg
Catherine of Sweden (10 November 1584 – 13 December 1638) was a Swedish princess and a Countess Palatine of Zweibrücken as the consort of her second cousin John Casimir of Palatinate-Zweibrücken. She is known as the periodical foster-mother of Queen Christina of Sweden.

Countess Palatine Dorothea Catherine of Birkenfeld-Bischweiler
Countess Palatine Dorothea Catherine of Birkenfeld-Bischweiler (3 July 1634 – 7 December 1715) was a Countess Palatine of Zweibrücken-Birkenfeld-Bischweiler by birth and, by marriage, Countess of Nassau-Ottweiler.

Catherine of Brandenburg-Küstrin
Catherine of Brandenburg- Küstrin( 10 August 1549 – 30 September 1602) was a Margravine of Brandenburg- Küstrin by birth and Electress of Brandenburg by marriage.

Who is Catherine Of Pomerania, Countess Palatine Of Neumarkt's father-in-law?";Rupert, King of Germany;Rupert
"Nǃai, the Story of a ǃKung Woman
Nǃai, the Story of a ǃKung Woman is a documentary film by ethnographic filmmaker John Marshall. The film was first broadcast in 1980 as part of the Odyssey series on PBS and is distributed by Documentary Educational Resources. It provides a broad overview of Juǀʼhoan life, both past and present, and an intimate portrait of Nǃai, a Juǀʼhoan woman who in 1978 was in her mid-thirties. Nǃai tells her own story, and in so doing, the story of Juǀʼhoan life.

𝕊
𝕊 is the blackboard bold “ S ” letter. It can refer to:

Jean Tulard
Jean Tulard( born 22 December 1933, Paris) is a French academic and historian, specialising in the history of cinema, of the French Consulate and the First French Empire. He is a member of the Académie des sciences morales et politiques since 1994. Tulard was one of the experts involved in verifying the heart believed to be that of Louis XVII of France, actually the Dauphin of France as the heir apparent to the throne, who died in 1795 in imprisonment. Scientists using DNA samples from Queen Anne of Romania, and her brother Andre de Bourbon- Parme, maternal relatives of Louis XVII, and from a strand of Marie- Antoinette's hair, proved the young royal's identity. Historic evidence as to the location of the heart over the decades was also considered. In a summary of the investigation in 2004, Tulard wrote:"" This heart is ... almost certainly that of Louis XVII. We can never be 100 per cent sure but this is about as sure as it gets"". In April 2010, he became Commander of the Légion d'honneur.

Who is Marie Zéphyrine Of France's paternal grandmother?";Maria Theresa of Spain;Marie Leszczyńska
"Who Saw Her Die?
Who Saw Her Die? is a 1972 Italian ""giallo"" film directed by Aldo Lado and Vittorio De Sisti, starring Anita Strindberg and George Lazenby. Lazenby and Strindberg play the parents of a murdered girl, who pursue her black-veiled killer throughout Venice. "" Who Saw Her Die? "" features music by Ennio Morricone, and has seen positive reviews for Lazenby's performance.

Woman in the Dark
Woman in the Dark may refer to:

The Film That Changed My Life
The Film That Changed My Life( also known as"" The Film That Changed My Life: 30 Directors on Their Epiphanies in the Dark"") is a non-fiction collection of interviews compiled by American journalist, author and film columnist Robert K. Elder. The book presents interviews with thirty famous directors who share stories about the movies that affected their career paths and directing styles.

Which film has the director died earlier, Condemned Women or Faces In The Dark?";Condemned Women.;Condemned Women
"Eden (2006 film)
Eden is a 2006 German film directed by Michael Hofmann in which a chef falls for a married woman.

Eden Studios (disambiguation)
Eden Studios may refer to:

Murder in Eden
Murder in Eden may refer to:

Who is the spouse of the director of film Eden And After?";"The spouse of the director of the film ""Eden and After"" is Helène Hofmann.";Catherine Robbe-Grillet
"Anastasia (sister of Constantine I)
Anastasia was the daughter of Roman Emperor Constantius Chlorus and Flavia Maximiana Theodora, and half sister of Emperor Constantine I. Anastasia was associated with a plot to assassinate Constantine. Her husband, Bassianus, was found to be plotting against Constantine.

Anastasia (upcoming film)
Anastasia is an upcoming fantasy- adventure film based on the legend of Grand Duchess Anastasia Nikolaevna of Russia.

Anastasia of Kiev
Anastasia of Kiev( 1023 – 1074/1096) was Queen of Hungary by marriage to King Andrew the White. She was the eldest daughter of Grand Prince Yaroslav I the Wise of Kiev and Ingigerd of Sweden, and the older sister of Anne of Kiev, Queen consort of Henry I of France.

Where was the place of death of Anastasia Of Serbia's husband?";Preslav;Hilandar
"Tiger Tale
Tiger Tale is a children's picture book illustrated by Marion Isham and written by Steve Isham. First published in 2002, the book retells the Aboriginal story of how the Tasmanian tiger got its stripes. "" Tiger Tale"" is illustrated using torn paper collage that gives the book a folkloric style.

The Devil in the White City
The Devil in the White City Cover of The Devil in the White City Author Erik Larson Country United States Language English Genre History, Historical Fiction Publisher Crown Publishers Publication date 2003 Media type Print (hardcover and paperback) Pages 447 ISBN 0 - 609 - 60844 - 4 OCLC 54397544

Fire from Heaven (disambiguation)
Fire from Heaven is a novel by Mary Renault. Fire from Heaven may also refer to:

Are Fire In Hell and The Tiger: An Old Hunter'S Tale from the same country?";No.;yes
"Zappatore
Zappatore is an Italian drama film directed by Alfonso Brescia and starring Mario Merola. The film was released in Italy on 5 December 1980. It is the"" cine- scripted"" which received the highest grossing theaters, ranking the 60th place of the most successful films in Italy in the 1980/ 81 season. The film is loosely based on the eponymous song, written by Libero Bovio and Albano.

Quo Vado?
Quo vado? is a 2016 Italian comedy film directed by Gennaro Nunziante. It was released on January 1, 2016. The film is the highest- grossing Italian film in Italy.

Where's Picone?
Where's Picone? (also known as ""Picone Sent Me"") is a 1983 Italian comedy film directed by Nanni Loy.

Which film was released more recently, Lo Zappatore or Placer Sangriento?";Placer Sangriento;Placer Sangriento
"Saint Gwenfyl
Saint Gwenfyl was an early Welsh Christian saint from the Brychan family. Little is known of her life.

Gwenllian of Wales
Gwenllian of Wales or Gwenllian ferch Llywelyn (June 1282 – 7 June 1337) was the only child of Llywelyn ap Gruffudd, the last native Prince of Wales . She is sometimes confused with Gwenllian ferch Gruffudd, who lived two centuries earlier.

Gwenc'hlan
Gwenc'hlan is the cognomen of a legendary 6th century Breton druid and bard called Kian, the subject and purported author of a Breton song called"" Diougan Gwenc'hlan""( Gwenc'hlan's prophecy), published by Hersart de la Villemarqué in his 1839 anthology"" Barzaz Breiz"". In this song, Gwenc'hlan is imprisoned after having his eyes gouged out for refusing to convert to Christianity, sings out that he is n't afraid to die and makes a prophecy wherein he will be avenged. The motive of the blinded prisoner is reminiscent of the historical fate of Boethius. One Gwenc'hlan or Guinclaff around 1450 wrote a"" chant royal"", or"" Dialogue between King Arthur and Gwenc'hlan"", quoted by Dom Le Pelletier and Gregory of Rostrenen. The poem was rediscovered in 1924. The Breton used by this Gwenc'hlan is already deeply pervaded by French. The legend of the 6th century bard is largely a creation of de la Villemarqué's, but he may have based his account on the 15th century author, as well as on other traditional Breton tales. He quotes 6th to 12th century Welsh poems attributed to the bards Aneurin, Taliesin and Llywarch Hen as his sources.

Was Şemsettin Baş or Gwenc'Hlan Le Scouëzec born first?";Gwenc'Hlan Le Scouëzec;Gwenc'Hlan Le Scouëzec
"Ramaniyechiyude namathil
Ramaniyechiyude Namathil is a 2015 Malayalam short film directed by Liju Thomasstarring Arun Kumar and Para Babu. The film was screened at various festivals such as FEFKA short film festival and received many accolades. It won the first prize in the Shoot an Idea competition organised by Kappa TV. The team joined with Asif Ali for the movie Kavi Uddheshichathu ..? was released on 8 October 2016.

L. Bhoominathan
L. Bhoominathan is a prolific Malayalam film editor who has been credited with editing 54 films to date. He has won the Kerala State Film Award for Best Editor three times. His most noteworthy works include Bharatham, Ninnishtam Ennishtam, His Highness Abdullah, Aaram Thamburan and Narashimham.

Ivar Vivahitharayal
Ivar Vivahitharayal? is a 2009 Malayalam language comedy drama film starring Jayasurya, Bhama, and Samvrutha Sunil in leading roles. The film is the directorial debut of Saji Surendran, who has been a television serial director.

Which film has the director born later, Bhoomiyude Avakashikal or The Majesty Of The Law?";The Majesty Of The Law.;Bhoomiyude Avakashikal
"Cornelia (mother of the Gracchi)
Cornelia( c. 190s – c. 115 BC) was the second daughter of Publius Cornelius Scipio Africanus, the hero of the Second Punic War, and Aemilia Paulla. She is remembered as a prototypical example of a virtuous Roman woman. She was the mother of the Gracchi brothers, and the mother- in- law of Scipio Aemilianus.

Pompeia (wife of Caesar)
Pompeia("" fl."" 1st century BC) was the second or third wife of Julius Caesar.

Aurelia (mother of Caesar)
Aurelia (c. 120 – July 31, 54 BC) was the mother of Roman dictator Gaius Julius Caesar (100 – 44 BC).

Who is Cornelia (Wife Of Caesar)'s child-in-law?";Scipio Aemilianus.;Pompey
"John Middleton Murry Jr.
John Middleton Murry Jr. (9 May 1926 – 31 March 2002) was an English writer who used the names Colin Murry and Richard Cowper.

Mayberry
Mayberry, North Carolina is a fictitious community that was the setting for two popular American television sitcoms, The Andy Griffith Show and Mayberry R.F.D. Mayberry was also the setting for a 1986 reunion television movie titled Return to Mayberry. Mayberry is said to be based on Andy Griffith's hometown of Mount Airy, North Carolina. Mount Airy is also known as Mayberry and this town is known by both names to the people who reside there.

John Corry (writer)
John Corry( fl. 1825) was an Irish topographer and historian writer. Among his other works he wrote and published"" The Life of George Washington"", first published in 1800.

Why did John Middleton Murry's wife die?";Killing herself.;tuberculosis
"Diya al-Dawla
Abu Tahir Firuzshah , better known by his ""laqab"" of Diya' al-Dawla, was the Buyid ruler of Basra during the 980s. He was the son of 'Adud al-Dawla.

Jalal al-Dawla
Abu Tahir Firuz Khusrau , better known by his ""laqab"" of Jalal al-Dawla (993 or 994 – March 1044), was the Buyid amir of Iraq (1027–1044). He was the son of Baha' al-Dawla.

Shams al-Dawla
Abu Taher (died 1021) was the Buyid ruler of Hamadan from 997 to 1021. He was the son of Fakhr al-Dawla.

Who is the paternal grandfather of Taj Al-Dawla?";'Adud al-Dawla;Rukn al-Dawla
"Maciej Ślesicki
Maciej Wojciech Slesicki (born 1966 in Warsaw) is a Polish film director and screenwriter, co-founder and lecturer at the Warsaw Film School.

Etiuda&Anima International Film Festival
The International Film Festival ""Etiuda&Anima"" (), is the leading animation film festival in Poland organized in Kraków continuously since 1994, and catering to independent producers, animation films professionals, and students of film and art schools from all over the world. Since 2010 the festival has also included workshops in scriptwriting, directing, cinematography, editing and animation, led by renown artists and pedagogues from foreign film schools. The main two events of each festival are the actual competitions awarding the Golden, Silver and Bronze Dinosaur' prizes in two categories (hence the name, Etiuda & Anima) including feature and documentary etudes as well as (since 2005) experimental filmography. The Special Golden Dinosaur Award is presented to the best film school of the festival. In the ""Anima"" part of the contest, Golden, Silver and Bronze Jabberwocky are awarded, with Special Golden Jabberwocky reserved for the best animated etude of the festival. The annual Special Golden Dinosaur is awarded to an outstanding artist turned pedagogue.

Kira Jääskeläinen
Kira Jääskeläinen( b. 1979 Warsaw, Poland) is a Finnish- Polish documentary film director.

Do both films Payment On Demand and My Cousin From Warsaw have the directors from the same country?";Yes.;yes
"Film manifesto
There have been a number of manifestos related to film. These propose the author/ s feelings and briefing on the how and why of film:

Spring of Life (film)
Spring of Life is a 2000 Czech film directed by Milan Cieslar.

Blue Spring (film)
The film title can be understood as"" inexperienced years"" or teenage years, but it also can be understood as"" fresh start"". According to manga artist Taiy ō Matsumoto, the title is intended as a play on irony.

What is the place of birth of the director of film And The Spring Comes?";Japan;Xi'an
