Prompt;Response;Ground Truth
"Joan the Maid
Joan the Maid  is a two-part 1994 French historical film directed by Jacques Rivette. It chronicles the life of Joan of Arc. This film was released in two parts: Joan the Maid, Part 1: The Battles  and Joan the Maid, Part 2: The Prisons .

Which film has the director who died earlier, Il Seduttore or The Trial Of Joan Of Arc?";Il Seduttore;The Trial Of Joan Of Arc
"Thomas Jefferson Medal
The Thomas Jefferson Medal may refer to several different awards named in honor of Thomas Jefferson:

Where was the director of film Thomas Jefferson (Film) born?";New York City.;Brooklyn
"Grand Duke George of Russia
There have been several dynasts of Russian Imperial House whose name is George: Currently, also son of Maria Vladimirovna of Russia, uses the designation Grand Duke George Mikhailovitch of Russia.

Why did Grand Duke Kirill Vladimirovich Of Russia's wife die?";Complications during surgery.;stroke
"Where's the Love (disambiguation)
"" Where's the Love"" is a 1997 song by Hanson. Where's the Love may also refer to:"" Where's the Love"" should not be confused with:

Where was the place of death of the director of film Beat Girl?";United Kingdom;Nice
"John Sheppard (VC)
Sheppard was 37 years old, and a Boatswain's Mate in the Royal Navy, serving with the Naval Brigade during the Crimean War when the following deed took place for which he was awarded the VC.

Who died first, Fleetwood Sheppard or George William Whitaker?";Fleetwood Sheppard;Fleetwood Sheppard
"Il était une fois l’indépendance
Il était une fois l’indépendance is a 2009 Malian film.

Which film has the director born first, The Raven'S Dance or Keïta! L'Héritage Du Griot?";Keïta! L'Héritage Du Griot.;The Raven'S Dance
"Jean Martin (disambiguation)
Jean Martin may refer to:

When did Jean Martin (Singer)'s husband die?";1999.;1983
"The Last Ride of the Dalton Gang
The Last Ride of the Dalton Gang is a 1979 television film directed by Dan Curtis about the Dalton Gang. It is not entirely accurate, as noted at the film's beginning.

Which film has the director who died earlier, Tangled Destinies or The Daltons' Women?";Tangled Destinies;Tangled Destinies
"It's a Wonderful Life
Due to all the above actions, this is one of the few RKO films not controlled by Turner Entertainment / Warner Bros. in the USA. It is also one of two Capra films Paramount owns despite not having originally released it -- the other is Broadway Bill (originally from Columbia, remade by Paramount as Riding High in 1950).

Which film was released earlier, Moment Of Danger or The Ballad Of Josie?";The Ballad of Josie was released earlier.;Moment Of Danger
"Film manifesto
There have been a number of manifestos related to film. These propose the author/ s feelings and briefing on the how and why of film:

What nationality is the director of film World And Time Enough?";Canadian.;United States
"Spectre (2015 film)
A sequel to Spectre will begin development in spring 2016. Sam Mendes has stated he will not return to direct the next 007 film. Christoph Waltz has signed on for two more films in the series, but his return depends on whether or not Craig will again portray Bond.

Which film has the director died earlier, Poker In Bed or The Machine To Kill Bad People?";Poker In Bed.;The Machine To Kill Bad People
"Sarah Prefers to Run
Sarah Prefers to Run is a 2013 Canadian drama film written and directed by Chloé Robichaud. It was screened in the Un Certain Regard section at the 2013 Cannes Film Festival. It won the Women in Film& Television Vancouver Artistic Merit Award at the 2013 Vancouver International Film Festival.

Which film whose director is younger, Heads I Win, Tails You Lose or The Incredible Sarah?";The Incredible Sarah.;Heads I Win, Tails You Lose
"Catherine of Sweden, Countess Palatine of Kleeburg
Catherine of Sweden (10 November 1584 – 13 December 1638) was a Swedish princess and a Countess Palatine of Zweibrücken as the consort of her second cousin John Casimir of Palatinate-Zweibrücken. She is known as the periodical foster-mother of Queen Christina of Sweden.

Who is Catherine Of Pomerania, Countess Palatine Of Neumarkt's father-in-law?";Rupert, King of Germany;Rupert
"Nǃai, the Story of a ǃKung Woman
Nǃai, the Story of a ǃKung Woman is a documentary film by ethnographic filmmaker John Marshall. The film was first broadcast in 1980 as part of the Odyssey series on PBS and is distributed by Documentary Educational Resources. It provides a broad overview of Juǀʼhoan life, both past and present, and an intimate portrait of Nǃai, a Juǀʼhoan woman who in 1978 was in her mid-thirties. Nǃai tells her own story, and in so doing, the story of Juǀʼhoan life.

Who is Marie Zéphyrine Of France's paternal grandmother?";Maria Amalia of Austria;Marie Leszczyńska
"Who Saw Her Die?
Who Saw Her Die? is a 1972 Italian ""giallo"" film directed by Aldo Lado and Vittorio De Sisti, starring Anita Strindberg and George Lazenby. Lazenby and Strindberg play the parents of a murdered girl, who pursue her black-veiled killer throughout Venice. "" Who Saw Her Die? "" features music by Ennio Morricone, and has seen positive reviews for Lazenby's performance.

Which film has the director died earlier, Condemned Women or Faces In The Dark?";"The director died before ""Faces In The Dark.""";Condemned Women
"Eden (2006 film)
Eden is a 2006 German film directed by Michael Hofmann in which a chef falls for a married woman.

Who is the spouse of the director of film Eden And After?";Michael Hofmann;Catherine Robbe-Grillet
"Anastasia (sister of Constantine I)
Anastasia was the daughter of Roman Emperor Constantius Chlorus and Flavia Maximiana Theodora, and half sister of Emperor Constantine I. Anastasia was associated with a plot to assassinate Constantine. Her husband, Bassianus, was found to be plotting against Constantine.

Where was the place of death of Anastasia Of Serbia's husband?";Carthage.;Hilandar
"Tiger Tale
Tiger Tale is a children's picture book illustrated by Marion Isham and written by Steve Isham. First published in 2002, the book retells the Aboriginal story of how the Tasmanian tiger got its stripes. "" Tiger Tale"" is illustrated using torn paper collage that gives the book a folkloric style.

Are Fire In Hell and The Tiger: An Old Hunter'S Tale from the same country?";No.;yes
"Zappatore
Zappatore is an Italian drama film directed by Alfonso Brescia and starring Mario Merola. The film was released in Italy on 5 December 1980. It is the"" cine- scripted"" which received the highest grossing theaters, ranking the 60th place of the most successful films in Italy in the 1980/ 81 season. The film is loosely based on the eponymous song, written by Libero Bovio and Albano.

Which film was released more recently, Lo Zappatore or Placer Sangriento?";Placer Sangriento;Placer Sangriento
"Saint Gwenfyl
Saint Gwenfyl was an early Welsh Christian saint from the Brychan family. Little is known of her life.

Was Şemsettin Baş or Gwenc'Hlan Le Scouëzec born first?";Şemsettin Baş.;Gwenc'Hlan Le Scouëzec
"Ramaniyechiyude namathil
Ramaniyechiyude Namathil is a 2015 Malayalam short film directed by Liju Thomasstarring Arun Kumar and Para Babu. The film was screened at various festivals such as FEFKA short film festival and received many accolades. It won the first prize in the Shoot an Idea competition organised by Kappa TV. The team joined with Asif Ali for the movie Kavi Uddheshichathu ..? was released on 8 October 2016.

Which film has the director born later, Bhoomiyude Avakashikal or The Majesty Of The Law?";The Majesty of the Law;Bhoomiyude Avakashikal
"Cornelia (mother of the Gracchi)
Cornelia( c. 190s – c. 115 BC) was the second daughter of Publius Cornelius Scipio Africanus, the hero of the Second Punic War, and Aemilia Paulla. She is remembered as a prototypical example of a virtuous Roman woman. She was the mother of the Gracchi brothers, and the mother- in- law of Scipio Aemilianus.

Who is Cornelia (Wife Of Caesar)'s child-in-law?";Cornelia (Wife of Caesar)'s child-in-law is Octavian (later known as Augustus).;Pompey
"John Middleton Murry Jr.
John Middleton Murry Jr. (9 May 1926 – 31 March 2002) was an English writer who used the names Colin Murry and Richard Cowper.

Why did John Middleton Murry's wife die?";Alcoholism.;tuberculosis
"Diya al-Dawla
Abu Tahir Firuzshah , better known by his ""laqab"" of Diya' al-Dawla, was the Buyid ruler of Basra during the 980s. He was the son of 'Adud al-Dawla.

Who is the paternal grandfather of Taj Al-Dawla?";Imad al-Dawla.;Rukn al-Dawla
"Maciej Ślesicki
Maciej Wojciech Slesicki (born 1966 in Warsaw) is a Polish film director and screenwriter, co-founder and lecturer at the Warsaw Film School.

Do both films Payment On Demand and My Cousin From Warsaw have the directors from the same country?";Yes.;yes
"Film manifesto
There have been a number of manifestos related to film. These propose the author/ s feelings and briefing on the how and why of film:

What is the place of birth of the director of film And The Spring Comes?";Iran;Xi'an
"James T. O'Donohoe
James T. O'Donohoe( 1898 – 27 August 1928 in Los Angeles, California) born James Thomas Langton O'Donohoe was a screenwriter in the early days of Hollywood, during the silent film era. His films include"" Kindred of the Dust""( 1922),"" The Lucky Lady""( 1926),"" What Price Glory?""( 1926),"" The Spaniard""( 1926),"" Two Arabian Knights""( 1927),"" Red Lips""( 1928), and"" Show Girl""( 1928).

Who died first, Madame Pasca or James A. Donohoe?";Madame Pasca died first.;Madame Pasca
"Christian Coulson
Christian Peter Coulson( born 3 October 1978) is an English actor best known for playing the 16- year old Tom Marvolo Riddle in"" Harry Potter and the Chamber of Secrets"".

Who was born later, D'Arcy Coulson or Thomas William Adams?";D'Arcy Coulson;D'Arcy Coulson
"Saginaw High School
Saginaw High School( part of the Saginaw City School District) is located in Saginaw, Michigan, USA. The student enrollment is 593 students. The school's mission statement is"" Saginaw High is committed to ensuring a safe and academic environment where the students will become academically proficient, life long learners, and productive citizens.""

Are Simonds Catholic College and Saginaw High School (Texas) both located in the same country?";No.;no
"William, Duke of Nassau
Wilhelm (Given names: "" Georg Wilhelm August Heinrich Belgicus""; 14 June 1792, Kirchheimbolanden – 20/30 August 1839, Bad Kissingen) was joint sovereign Duke of Nassau, along with his cousin Frederick Augustus, reigning from 1816 until 1839. He was also sovereign Prince of Nassau-Weilburg from 1816 until its incorporation into the duchy of Nassau. Frederick Augustus died on 24 March 1816 and Wilhelm inherited the Usingen territories and became sole sovereign of the Duchy of Nassau. He is the father of Adolphe, Grand Duke of Luxembourg, and Queen Sophia of Sweden and Norway, consort of King Oscar II and also a 17th cousin (and 3rd cousin) of William III of the Netherlands, who left a surviving daughter to rule his main realm, but the crown of Luxembourg went through the male line, looking to 17 generations back, to pass to the Duke of Nassau and then his descendants.

Which country Prince Nikolaus Wilhelm Of Nassau's mother is from?";Luxembourg.;German
"Academy Award for Best Director
Wins Director John Ford Frank Capra William Wyler Frank Borzage Clint Eastwood Miloš Forman Alejandro G. Iñárritu Elia Kazan David Lean Ang Lee Frank Lloyd Joseph L. Mankiewicz Leo McCarey Lewis Milestone Steven Spielberg George Stevens Oliver Stone Billy Wilder Robert Wise Fred Zinnemann

Which film whose director was born first, 45 Fathers or The Intended?";45 Fathers;45 Fathers
"Louis-Alexandre Berthier
Louis-Alexandre Berthier (20 November 1753 – 1 June 1815), 1st Prince of Wagram, Sovereign Prince of Neuchâtel, was a French Marshal and Vice-Constable of the Empire, and Chief of Staff under Napoleon.

Who is the paternal grandfather of Alexandre Berthier, 3Rd Prince Of Wagram?";Jean Bautiste GmbH.;Louis-Alexandre Berthier
"Gian Maria Visconti
Gian Maria Visconti( or Giovanni Maria; 7 September 1388 in Abbiategrasso – 16 May 1412) was the second Visconti Duke of Milan, the son of Gian Galeazzo Visconti and Caterina Visconti.

Where was the husband of Caterina Visconti born?";Abbiategrasso;Pavia
"The Film That Changed My Life
The Film That Changed My Life( also known as"" The Film That Changed My Life: 30 Directors on Their Epiphanies in the Dark"") is a non-fiction collection of interviews compiled by American journalist, author and film columnist Robert K. Elder. The book presents interviews with thirty famous directors who share stories about the movies that affected their career paths and directing styles.

Which film has the director who was born later, A Quiet Place In The Country or When Were You Born?";When Were You Born?;A Quiet Place In The Country
"List of people born at sea
This is a list of notable people born at sea.

Who was born first, John Beach or Gordon Persons?";John Beach;John Beach
"Dead Men Tell
Dead Men Tell is a 1941 mystery film starring Sidney Toler, who played Charlie Chan in 22 feature films, beginning with ""Charlie Chan in Honolulu"" (1938), and ending with ""The Trap"" (1946). The first 11 Charlie Chan films were produced by 20th Century Fox Studios, thereafter sold to Monogram Pictures.

Which film has the director born earlier, The House By The Cemetery or Charlie Chan In Honolulu?";Charlie Chan In Honolulu;Charlie Chan In Honolulu
"Paco León
Francisco León Barrios( was born 4 October 1974), known as Paco León is a Spanish actor, producer, philanthropist and director. Born in Seville, his first television experiences were playing in the comedy"" Mariquilla Ríe Perlas"" and"" Castillos en el Aire"" on Canal Sur. He was a host of the variety TV show"" Cita a Ciegas"" and of the TV game show"" Triunfa en Casa"". He also played the role of Maria in the comedy"" Moncloa, ¿ Dígame?"" on Telecinco. But his real trampoline to fame was the Antena 3 comedy sketch show Homo Zapping, in which he immediately stood out from among the cast. He has returned to Telecinco with the role of Luisma in Aída.

Who is the child of the director of film La Leona (Film)?";Paco León;Víctor Bó
"Blanche of France, Infanta of Castile
Blanche of France( French:"" Blanche de France"")( 1253–1323) was a daughter of King Louis IX of France and Margaret of Provence, and sister of King Philip III of France and Queen Isabella of Navarre.

Who is Blanche Of Portugal (1259–1321)'s paternal grandmother?";Blanche of France;Urraca of Castile
"Per amore di Cesarina
Per amore di Cesarina("" For Love of Cesarina"") is a 1976 Italian comedy film directed by Vittorio Sindoni.

Who lived longer, Giuseppe Cesari or Nicos Poulantzas?";Nicos Poulantzas;Giuseppe Cesari
"Fernando Fragata
Filmmaker Fernando Fragata started his career in Portugal with the short film Love& Alchemy, which won him several International awards for best short film and best director. His other Portuguese films include the romantic comedy Sweet Nightmare and the critically acclaimed action comedy Chasing Life( Pulsação Zero). In 2004 he wrote and directed the mystery crime The Trunk( Sorte Nula), which became the top grossing Portuguese film of that year. Backlight came in 2010 and again broke box office records in his home country.

Are director of film Nights On The Road and director of film Swann In Love (Film) from the same country?";No.;yes
"Elia
Elia is a name which may be a variant of the names Elias, Elijah, Eli or Eliahu.

Who is older, Aryeh Ben-Eliezer or Jason Pociask?";Aryeh Ben-Eliezer.;Aryeh Ben-Eliezer
"Bath stone
Bath Stone has been used extensively as a building material throughout southern England, for churches, houses, and public buildings such as railway stations.

Where does the director of film Man At Bath work at?";Christ Church, Oxford.;Cahiers du cinéma
"Lord of Arran
The Lord of Arran was a title for the lord of Arran, Scotland in High Medieval Scotland.

Who is Arthur Gore, 2Nd Earl Of Arran's paternal grandfather?";Adam Gore, 2nd Earl of Arran.;Sir Arthur Gore, 2nd Baronet
"Kaufingerstraße
The Kaufingerstraße is one of the oldest streets in Munich and, together with the Neuhauser Straße, one of the most important shopping streets in Munich.

Are both Kaufland and Otrag located in the same country?";Yes.;yes
"Sarvam Thaala Mayam (soundtrack)
The soundtrack album for the film Sarvam Thaala Mayam consists of six feature songs plus instrumental tracks. The film's director Menon has also composed a song which Rahman has curated.

Which film came out earlier, Aanaval Mothiram or Heroes Of The Street?";Aanaval Mothiram.;Heroes Of The Street
"John Crichton-Stuart, 4th Marquess of Bute
John Crichton- Stuart, 4th Marquess of Bute, KT( 20 June 1881 – 25 April 1947), was a Scottish peer.

Where was the father of Lord Patrick Crichton-Stuart born?";In London.;London
"Policegiri
Policegiri recorded an average opening and did extremely poor multiplex business although single screens fared much better where it remained in theatres for three weeks recording 57 cr after its four-week run across India. The film was declared a average by Box Office India.

Which country the director of film Daadagiri is from?";India;Pakistan
"Felix Leiter
Felix Leiter is a fictional character created by Ian Fleming in the James Bond series. The character is an operative for the CIA and Bond's friend. After losing a leg and his hand to a shark attack, Leiter joined the Pinkerton Detective Agency. The name ``Felix ''comes from the middle name of Fleming's friend Ivar Bryce, while the name`` Leiter'' was the surname of Fleming's friend Marion Oates Leiter Charles, then wife of Thomas Leiter.

Where was the wife of Douglas Leiterman born?";Chicago;Winnipeg, Manitoba
"Where Are You? (1937 song)
"" Where Are You?"" is a popular song composed by Jimmy McHugh, with lyrics by Harold Adamson. The song was written for the 1937 film"" Top of the Town"" and was originally performed by Gertrude Niesen. Niesen also made a commercial recording of the song for Brunswick Records and this was popular. "" Where Are You?"" has been recorded by many performers.

What is the place of birth of the performer of song Who...?";Chicago;Fukuoka
"Hercules (1995 film)
Hercules is a 1995 film about the story of the Greek demigod Hercules, the son of Zeus and Alcmene.

Where was the place of death of the director of film Mole Men Against The Son Of Hercules?";Italy.;Roma
"Mikhail Gaydamak
Mikhail Dmitriyevich Gaydamak( born 21 November 1996) is a Russian football player who plays for Volna Pinsk.

Where was the father of Alexandre Gaydamak born?";Russia;Moscow, USSR
"Le courage d'aimer
Le Courage d'aimer is a comedy drama directed by Claude Lelouch released on 29 June 2005. It is the result of a recutting of the first part (""Les parisiens"") of an unfinished trilogy - Le Genre humain with the scenes from the film that would have constituted the second film, called ""Le Bonheur, c'est mieux que la vie"".

Which film has the director who died earlier, Toen 'T Licht Verdween or Boum Sur Paris?";Toen 'T Licht Verdween;Toen 'T Licht Verdween
"Gaston, Count of Eu
Prince Gaston of Orleans, Count of Eu (28 April 1842 – 28 August 1922), the first son of Louis, Duke of Nemours, and Princess Victoria of Saxe-Coburg and Gotha, was a French prince and military commander who fought in the Spanish-Moroccan War and the Paraguayan War. Gaston was married to Princess Isabel, heiress to the Brazilian throne.

Who is Gaston, Duke Of Orléans's paternal grandmother?";Queen Marie Amalie of Naples and Sicily.;Jeanne d'Albret
"Half the Picture
Half the Picture is a 2018 documentary film by Amy Adrion about women directors in Hollywood and the struggles they faced.

Where was the director of film The Half-Way Girl born?";Amy Adrion was born in Ohio, USA.;New York
"Sophia of Hungary (nun)
Sophia was the elder of the two daughters of King Béla II of Hungary. She was engaged to Henry, a son of Conrad III of Germany. She died as a nun in the Admont Abbey.

Who is the father-in-law of Sophia Of Wittelsbach?";Frederick I, Holy Roman Emperor;Louis II
"Henry I, Count of Louvain
Henry I was Count of Louvain from 1015 until 1038.

Where was the place of death of Lambert I, Count Of Louvain's father?";Louvain.;Bohemia
"Gleaming the Cube
Renowned stuntman Buddy Joe Hooker makes a cameo at the start of the chase scene's freeway segment as the driver whose Corvette gets sideswiped

Where was the director of film Highway Dragnet born?";Brazil.;Gura Humorului
"Prince Gustav of Thurn and Taxis
Prince Gustav Franz Maria of Thurn and Taxis, full German name:"" Gustav Franz Maria, Prinz von Thurn und Taxis""( 22 August 1888, Dresden, Kingdom of Saxony – 30 April 1919, Munich, Bavarian Soviet Republic), was a member of the House of Thurn and Taxis and a Prince of Thurn and Taxis by birth. As a member of the Thule Society, Gustav was killed by the Bavarian Soviet Republic government during the German Revolution of 1918 – 19.

Where did Prince Gustav Of Thurn And Taxis (1848–1914)'s mother die?";Hamburg;Meran
"Bengal Film Journalists' Association
Best Male Playback Singer (Hindi) - Here is a list of the award winners and the films for which they won.

What is the award that the performer of song Sunday Papers earned?";BFJA Award;Grammy
"Edoardo Anton
Born in Rome as Edoardo Antonelli, Anton was the son of the playwright and journalist Luigi Antonelli. He entered the cinema industry in mid-thirties and soon became a prolific screenwriter specialized in comedy films. His work as filmmaker is marginal, mainly confined to the co-direction of a few international co-productions; the only work entirely attributable to him is ""Il lupo della frontiera"".

Which film has the director born first, Antonieta or Dodging The Dole?";Antonieta.;Dodging The Dole
"Tolmachevo Airport
Novosibirsk Tolmachevo Airport is situated in the town of Ob, west of the center of Novosibirsk, an industrial and scientific center in Siberia and Russia's third- largest city.

Are both Nikolsk Airport and Svobodny Airport located in the same country?";Yes.;yes
"Amadeus III, Count of Savoy
Amadeus III of Savoy (1095 – April 1148) was Count of Savoy and Maurienne from 1103 until his death. He was also known as a crusader.

Who is the maternal grandfather of Amadeus Vii, Count Of Savoy?";Amadeus III, Count of Savoy.;Peter I
"Tracking number
A UPS tracking number, for domestic packages within the United States, will usually start with ``1Z ''followed by a 6 character shipper number (numbers and letters), a 2 digit service level indicator, and finally 8 digits identifying the package, for a total of 18 characters.

Are both businesses, Telus and Ztr Control Systems, located in the same country?";Yes.;yes
"Universal Pictures
Laemmle, Jr. created a niche for the studio, beginning a series of horror films which extended into the 1940s, affectionately dubbed Universal Horror. Among them are Frankenstein (1931), Dracula ( also in 1931), The Mummy (1932) and The Invisible Man (1933). Other Laemmle productions of this period include Imitation of Life (1934) and My Man Godfrey (1936).

Do both films, Dial M For Murder and Marius (1931 Film), have the directors who are from the same country?";Yes.;yes
"Ronnie Dyson
Ronald"" Ronnie"" Dyson( June 5, 1950 — November 10, 1990) was an American singer and actor.

Who is older, Dyson Parody or Gene Watson?";Gene Watson.;Gene Watson
"Master Ghulam Haider
Master Ghulam Haider
,  (1908 – 9 November 1953) was a well-known music composer who worked both in India and later in Pakistan after independence. He changed the face of film songs by combining the popular Raags with the verve and rhythm of Punjabi music, and also helped raise the status of film music directors. He is also known for giving a break to the well-known playback singer, Lata Mangeshkar. In an interview, Lata Mangeshkar herself disclosed on her 84th birthday in 2013, ""Ghulam Haider is truly my Godfather. It was his confidence in me that he fought for me to tuck me into the Hindi Film Industry which otherwise had rejected me"". Remembering her early rejection, Lata once said, ""Ghulam Haider was the first music director who showed complete faith in my talent. He introduced me to many producers including ""S. Mukerji"", a big name in film production, but when he too declined me, Ghulam Haider was very furious. Hence, finally he convinced Bombay Talkies, a banner bigger than S. Mukerji and introduced me through their movie Majboor (1948 film)"".

Are both directors of films The Princess Bride (Film) and I Never Sang For My Father from the same country?";Yes.;yes
"Allied leaders of World War I
Nicholas II -- last Czar of Russia, titular King of Poland, and Grand Duke of Finland. His rule ended with the Russian Revolution. Nicholas was killed on 17 July 1918.

When did Prince John Konstantinovich Of Russia's mother die?";1910;24 March 1927
"Aude (character)
Aude, or Alda, Alde, was the sister of Oliver and betrothed of Roland in"" The Song of Roland"" and other chansons de geste. The story of her engagement to Roland is told in"" Girart de Vienne"". In"" The Song of Roland"" Aude is first mentioned by her brother Oliver when he tells Roland that the two will never be married, when the two counts are arguing before the battle; they are later reconciled, but both die fighting the Saracens. When Charlemagne returns to Aix and informs Aude that Roland has died, she collapses at the Emperor's feet and dies of grief. "" The Lovely Alda"" is part of Edward MacDowell's 1891 orchestral composition,"" Two Fragments after the Song of Roland"".

Which country Audofleda's husband is from?";Italy;Ostrogothic Kingdom
"Thailand Film Office
The Thailand Film Office is the official point of contact in the country for all activities involving filming and the making films in the Kingdom of Thailand. The film industry has a long and established history in Thailand and Hollywood has played an important role in the development of Thailand's film industry over the years. Thailand's King Vajiravudh,"" King Rama VI"", supported one of the first feature films made in Thailand, 1923's Miss Suwanna of Siam, a Hollywood co-production.

What is the place of birth of the director of film Letter To The King?";Sweden.;Kurdish
"Listen... Tanks!
Listen... Tanks! is an avant-garde music group, consisting of Gary Lightbody (of Snow Patrol) and producer Jacknife Lee, who has produced the last three albums for Snow Patrol, among others. The group's music is very different from Snow Patrol and has been termed ""weird"" by Lightbody. The group will visit Lee's home in January 2010 to record an album, after they finish working on another project Tired Pony.

Are both bands, Snowman (Band) and Jessamine (Band), from the same country?";Yes.;no
"Real Love (Beatles song)
``Real Love ''Song by John Lennon from the album Imagine: John Lennon Released 10 October 1988 Recorded New York City Length 2: 48 Label Parlophone EMI Songwriter (s) John Lennon Producer (s) George Martin John Lennon Yoko Ono Phil Spector Jack Douglas

Where was the performer of song God (John Lennon Song) born?";Liverpool, England.;Liverpool
"Samurai I: Musashi Miyamoto
The other two films in the trilogy are and.

Which film has the director who died earlier, Captain Kidd And The Slave Girl or Relax Freddie?";Samurai II: Duel at Ichijoji Temple, Samurai III: Duel at Ganryu Island. Captain Kidd And The Slave Girl.;Captain Kidd And The Slave Girl
"Don't Break My Heart
Don't Break My Heart is the title of several songs, including:

Which song was released more recently, Go Ahead And Break My Heart or Knee Deep In My Heart?";Go Ahead And Break My Heart;Go Ahead And Break My Heart
"78th Academy Awards
Philip Seymour Hoffman -- Capote as Truman Capote Terrence Howard -- Hustle & Flow as DJay Heath Ledger -- Brokeback Mountain as Ennis Del Mar Joaquin Phoenix -- Walk the Line as Johnny Cash David Strathairn -- Good Night, and Good Luck as Edward R. Murrow

Which film has the director who died later, The Fatal Mistake or The Devil'S Hairpin?";The Fatal Mistake;The Devil'S Hairpin
"Princess Maria Luisa of Savoy (1729–1767)
Maria Luisa of Savoy (Maria Luisa Gabriella; 25 March 1729 – 22 June 1767) was a princess of Savoy.

Who is Maria Luisa Of Savoy's father-in-law?";King Philip V of Spain.;Louis, Grand Dauphin
"Taira no Chikazane
Oda Nobunaga claimed descent from him.

Who is the paternal grandfather of Kujō Yoritsugu?";Taira no Chikazane.;Kujō Michiie
"Planet of the Apes
Planet of the Apes Created by Pierre Boulle Original work La Planète des singes (1963) Print publications Novel (s) La Planète des singes (1963) Comics List of comics Films and television Film (s) Original series Planet of the Apes (1968) Beneath the Planet of the Apes (1970) Escape from the Planet of the Apes (1971) Conquest of the Planet of the Apes (1972) Battle for the Planet of the Apes (1973) Remake Planet of the Apes (2001) Reboot series Rise of the Planet of the Apes (2011) Dawn of the Planet of the Apes (2014) War for the Planet of the Apes (2017) Television series Planet of the Apes (1974) Return to the Planet of the Apes (1975 -- 1976) Games Video game (s) Planet of the Apes (2001) Revenge of the Apes (2003) Planet of the Apes: Last Frontier (2017)

What is the place of birth of the director of film Marianela (1940 Film)?";Valparaíso, Chile.;Madrid
"High Yellow
High Yellow is a 1965 film about a black girl who tries to pass for white.

Which film came out first, Repeated Absences or She Wore A Yellow Ribbon?";She Wore A Yellow Ribbon;She Wore A Yellow Ribbon
"List of the verified oldest people
The oldest person ever whose age has been verified is Jeanne Calment (1875 -- 1997) of France, who died at the age of 122 years, 164 days.

Who lived longer, Edward Dearle or Michael Doeberl?";Edward Dearle.;Edward Dearle
