Prompt;Response;Ground Truth
Which film has the director who was born later, A Quiet Place In The Country or When Were You Born?;A Quiet Place In The Country;A Quiet Place In The Country
Who was born first, John Beach or Gordon Persons?;Gordon Persons.;John Beach
Which film has the director born earlier, The House By The Cemetery or Charlie Chan In Honolulu?;Charlie Chan In Honolulu.;Charlie Chan In Honolulu
Who is the child of the director of film La Leona (Film)?;Rosalind Ross.;Víctor Bó
Who is Blanche Of Portugal (1259–1321)'s paternal grandmother?;Matilda of Savoy.;Urraca of Castile
Who lived longer, Giuseppe Cesari or Nicos Poulantzas?;Nicos Poulantzas.;Giuseppe Cesari
Are director of film Nights On The Road and director of film Swann In Love (Film) from the same country?;Yes.;yes
Who is older, Aryeh Ben-Eliezer or Jason Pociask?;Aryeh Ben-Eliezer.;Aryeh Ben-Eliezer
Where does the director of film Man At Bath work at?;Museum of Modern Art;Cahiers du cinéma
Who is Arthur Gore, 2Nd Earl Of Arran's paternal grandfather?;Arthur Gore, 2nd Earl of Arran's paternal grandfather is Arthur Gore, 1st Earl of Arran.;Sir Arthur Gore, 2nd Baronet
Are both Kaufland and Otrag located in the same country?;No.;yes
Which film came out earlier, Aanaval Mothiram or Heroes Of The Street?;Aanaval Mothiram.;Heroes Of The Street
Where was the father of Lord Patrick Crichton-Stuart born?;Scotland.;London
Which country the director of film Daadagiri is from?;India;Pakistan
Where was the wife of Douglas Leiterman born?;London, England.;Winnipeg, Manitoba
What is the place of birth of the performer of song Who...?;Canada.;Fukuoka
Where was the place of death of the director of film Mole Men Against The Son Of Hercules?;Rome, Italy.;Roma
Where was the father of Alexandre Gaydamak born?;Ukraine.;Moscow, USSR
Which film has the director who died earlier, Toen 'T Licht Verdween or Boum Sur Paris?;Toen 'T Licht Verdween.;Toen 'T Licht Verdween
Who is Gaston, Duke Of Orléans's paternal grandmother?;Henriette d'Orléans.;Jeanne d'Albret
Where was the director of film The Half-Way Girl born?;Germany.;New York
Who is the father-in-law of Sophia Of Wittelsbach?;Maximilian I Joseph;Louis II
Where was the place of death of Lambert I, Count Of Louvain's father?;Diest;Bohemia
Where was the director of film Highway Dragnet born?;Chicago;Gura Humorului
Where did Prince Gustav Of Thurn And Taxis (1848–1914)'s mother die?;Queen Maria Sophia of Naples and Sicily died in Düsseldorf.;Meran
What is the award that the performer of song Sunday Papers earned?;Grammy.;Grammy
Which film has the director born first, Antonieta or Dodging The Dole?;Antonieta.;Dodging The Dole
Are both Nikolsk Airport and Svobodny Airport located in the same country?;Yes.;yes
Who is the maternal grandfather of Amadeus Vii, Count Of Savoy?;Amadeus IX, Duke of Savoy.;Peter I
Are both businesses, Telus and Ztr Control Systems, located in the same country?;No.;yes
Do both films, Dial M For Murder and Marius (1931 Film), have the directors who are from the same country?;Yes (UK).;yes
Who is older, Dyson Parody or Gene Watson?;Gene Watson;Gene Watson
Are both directors of films The Princess Bride (Film) and I Never Sang For My Father from the same country?;No.;yes
When did Prince John Konstantinovich Of Russia's mother die?;1911;24 March 1927
Which country Audofleda's husband is from?;Spain;Ostrogothic Kingdom
What is the place of birth of the director of film Letter To The King?;Norway.;Kurdish
Are both bands, Snowman (Band) and Jessamine (Band), from the same country?;No.;no
Where was the performer of song God (John Lennon Song) born?;Liverpool, England.;Liverpool
Which film has the director who died earlier, Captain Kidd And The Slave Girl or Relax Freddie?;Captain Kidd And The Slave Girl;Captain Kidd And The Slave Girl
Which song was released more recently, Go Ahead And Break My Heart or Knee Deep In My Heart?;Go Ahead And Break My Heart.;Go Ahead And Break My Heart
Which film has the director who died later, The Fatal Mistake or The Devil'S Hairpin?;The Devil's Hairpin.;The Devil'S Hairpin
Who is Maria Luisa Of Savoy's father-in-law?;King Philip V of Spain.;Louis, Grand Dauphin
Who is the paternal grandfather of Kujō Yoritsugu?;Kujō Michifusa.;Kujō Michiie
What is the place of birth of the director of film Marianela (1940 Film)?;Spain.;Madrid
Which film came out first, Repeated Absences or She Wore A Yellow Ribbon?;She Wore A Yellow Ribbon.;She Wore A Yellow Ribbon
Who lived longer, Edward Dearle or Michael Doeberl?;Edward Dearle;Edward Dearle
Where does Karin Stoltenberg's husband work at?;At the University of Oslo.;United Nations
Where was the director of film Lettre Ouverte born?;Morocco.;Paris
Who is William Ii, Count Of Flanders's paternal grandmother?;Matilda of Flanders.;Mathilde of Bourbon
What is the place of birth of Clara Novello's father?;Italy.;London
Which film came out earlier, Emmy Of Stork'S Nest or Indira Vizha?;Emmy Of Stork'S Nest.;Emmy Of Stork'S Nest
Which film came out first, Celine: Through The Eyes Of The World or Dilan 1991?;Dilan 1991 came out first.;Celine: Through The Eyes Of The World
Who was born earlier, Silas Hardy or Lee Mantle?;Silas Hardy.;Lee Mantle
Where was the place of burial of Albert Frederick, Duke Of Prussia's mother?;Berlin Crypts.;Königsberg
Where was the place of death of Juan Carlos Gumucio's wife?;New York City;Homs
Who is the father of the director of film Gramps Is In The Resistance?;Jean-Luc Godard.;Alain Poiré
What is the place of birth of the performer of song Heaven (Namie Amuro Song)?;Naha, Okinawa, Japan.;Naha, Okinawa
What nationality is Philip Of Ibelin (1180–1227)'s mother?;French.;Byzantine
Who was born later, Joseph J. Magliocco or Viktoriya Zeynep Güneş?;Viktoriya Zeynep Güneş;Viktoriya Zeynep Güneş
When is the lead guitarist of List Of The Dillinger Escape Plan Band Members's birthday?;1982;August 8, 1975
Where does Huma Abedin's husband work at?;Anthony Weiner was a former politician.;Chuck Schumer
Are the movies About A Wife, A Dream And Another... and The Doolins Of Oklahoma, from the same country?;No.;no
Which film came out earlier, Out Of The Rain or Les Résultats Du Féminisme?;Out Of The Rain.;Les Résultats Du Féminisme
Where did Giacomo Feo's wife die?;In Italy.;Florence
What is the place of birth of the director of film Swedenhielms?;Stockholm, Sweden.;Helsingfors
Which country Jan Baptist Van Rensselaer's father is from?;Netherlands.;Dutch
Which film was released earlier, Sathyavan Savithri or Kids Of The Round Table?;Kids Of The Round Table.;Kids Of The Round Table
Where did Gigi Causey's husband graduate from?;Yale.;Tisch
What nationality is Geodeung Of Geumgwan Gaya's mother?;Geodeung Of Geumgwan Gaya's mother was of Silla nationality.;India
Which film was released earlier, Xenoa or Divorce Invitation?;Xenoa.;Xenoa
What is the cause of death of Alex Matthiessen's father?;Suicide.;leukemia
What is the place of birth of Remigius Of Rouen's father?;Bayeux.;Herstal
When did Lord Patrick Crichton-Stuart's father die?;1947;22 January 1794
Which film has the director who was born earlier, It'S A Joke, Son! or The Thirty Nine Steps (1978 Film)?;"The director of ""It'S A Joke, Son!"" was born earlier.";It'S A Joke, Son!
Are both directors of films The Slayer (Film) and Moscow Heat from the same country?;No.;yes
Which school was established first, Whitehorse Manor Junior School or Sabawoon Rehabilitation Centre?;Whitehorse Manor Junior School.;Sabawoon Rehabilitation Centre
Are Little Sachigo Lake and Holden Lake located in the same country?;Yes.;yes
Who is Henriette Of France (1727–1752)'s maternal grandfather?;King George II of Great Britain.;Stanisław Leszczyński
Which film has the director born first, Leave It To Henry or The Last Night Of Scheherazade?;Leave It To Henry.;Leave It To Henry
What is the date of death of Gero Ii, Margrave Of The Saxon Ostmark's father?;965.;3 August 979
Are Tomskoye, Amur Oblast and Pleshkovo located in the same country?;Yes. Russia.;yes
Which film came out earlier, I Am Breathing or Ulti Ganga?;I Am Breathing.;Ulti Ganga
Who was born later, Levon Julfalakyan or Charlotte Spurkeland?;Charlotte Spurkeland.;Charlotte Spurkeland
Who is the father of the director of film Red 2 (Film)?;Bruce Willis;Aldo Parisot
When was the company that published American Scientist founded?;1933;1886
What is the place of birth of Jo Planckaert's father?;Belgium;Nevele
What is the place of birth of Gwilym Lloyd George's father?;Manchester, England.;Manchester
What is the place of birth of James Douglas, 3Rd Earl Of Angus's father?;Tantallon Castle.;Tantallon Castle
What nationality is the director of film They Call It Love?;Italian.;American
What is the place of birth of Zhanna Nemtsova's father?;Sochi, Russia;Sochi
Which film has the director born earlier, Santa Fe Uprising or Trainer And Temptress?;Santa Fe Uprising;Trainer And Temptress
Which film has the director who was born earlier, Adam'S Rib or Thendral Veesum?;Adam's Rib - Directed by George Cukor, born in 1899.;Adam'S Rib
Which country the composer of film Continental, A Film Without Guns is from?;Brazil.;French
Where was the director of film Age-Old Friends born?;Kansas City, Missouri.;Winnipeg, Manitoba
Which one was established first, Noerr or Korn Ferry?;Korn Ferry.;Noerr
Where was the father of Eleonora Di Garzia Di Toledo born?;Portugal;Villafranca del Bierzo
What is the award that the director of film The Last Night Of The Barbary Coast got?;Palme d'Or;Jean Hersholt Humanitarian Award
Who is Prince Nicolas, Duke Of Ångermanland's mother?;Princess Madeleine of Sweden.;Princess Madeleine, Duchess of Hälsingland and Gästrikland
Who is the paternal grandmother of Princess Augusta Of Waldeck-Pyrmont?;Queen Emma of the Netherlands.;Princess Augusta of Schwarzburg-Sondershausen
Where does the director of film The Marquise Of O (Film) work at?;Bavaria.;Cahiers du cinéma
Which film whose director is younger, Joe Palooka In Fighting Mad or Figaro-Ci, Figaro-Là?;Joe Palooka In Fighting Mad - 28 years old, Figaro-Ci, Figaro-Là - 23 years old.;Figaro-Ci, Figaro-Là
Which film was released first, Ekam – Son Of Soil or Farber'S Nerve?;Ekam - Son Of Soil.;Farber'S Nerve
Which country Mohammed Al-Modiahki's wife is from?;Qatar.;China
Do both films: Gammat Jammat and Ready (2011 Film) have the directors from the same country?;Yes.;yes
Who is Philip Of Sicily's father?;Henry VI.;Charles I of Naples
Who was born later, Gideon Johnson Pillow or Holm Jølsen?;Holm Jølsen.;Holm Jølsen
Which film has the director who died first, The Crime Doctor'S Courage or Vasantha Sena (1967 Film)?;"The director of ""The Crime Doctor's Courage"" died first.";The Crime Doctor'S Courage
Where did the director of film My Heidelberg, I Can Not Forget You die?;Zhang Renjie died in Taiwan.;Argentina
Which film was released earlier, Tiger Of The Seven Seas or My Wife'S Lodger?;Tiger of the Seven Seas.;My Wife'S Lodger
Do Alice Mary Dowd and Richard N. Palmer have the same nationality?;Yes.;yes
Who is the father of the director of film Wonders Of The Sea 3D?;Jacques Cousteau;Jacques Cousteau
Which film has the director died first, Le Guignolo or Knights Of The Range?;Le Guignolo;Knights Of The Range
Who died later, Narcís Ventalló or H. Verlan Andersen?;H. Verlan Andersen.;Narcís Ventalló
Which film was released first, The Beginning Or The End or Hold Back The Night?;The Beginning Or The End.;The Beginning Or The End
Who is younger, Aneta Hladíková or René Poupardin?;Aneta Hladíková.;Aneta Hladíková
Where was the place of death of Prince Christopher Of Greece And Denmark's father?;Tatoi Palace;Thessaloniki
What is the place of birth of the director of film Guilty Of Treason?;Lisbon, Portugal.;New York
Where did Charles Stewart, 3Rd Duke Of Richmond's father graduate from?;Cambridge.;University of Paris
What is the place of birth of the performer of song I Wish (Gabrielle Song)?;New York City.;Hackney
When was the director of film Jinpa born?;1976;1969
Which film whose director is younger, Kalippava or A Couch In New York?;Kalippava;A Couch In New York
Which film has the director who died earlier, The Love Charm or The Constant Woman?;The Love Charm.;The Constant Woman
Which film came out earlier, Dis-Moi Qui Tuer or Under The Hawthorn Tree (Film)?;Dis-Moi Qui Tuer.;Dis-Moi Qui Tuer
Where was the place of death of Tamatoa Vi's father?;Moorea;Huahine
Where did the director of film Old Man Drinking A Glass Of Beer die?;Albuquerque;Brighton
What is the date of death of Henry St John, 18Th Baron St John Of Bletso's father?;March 8, 2013.;10 May 1912
Who is younger, Justin Paul or Helly Shah?;Helly Shah.;Helly Shah
Who was born first out of Marco De Luigi and Fabio Maistro?;Fabio Maistro.;Marco De Luigi
Which film has the director who died earlier, Guns And Guitars or To The Victor?;Guns And Guitars;Guns And Guitars
Which film has the director who died later, His Last Haul or The Falcon In San Francisco?;The Falcon In San Francisco;The Falcon In San Francisco
Who is Edward De Vere, 17Th Earl Of Oxford's paternal grandfather?;John de Vere.;John de Vere, 15th Earl of Oxford
Where was the place of death of Alexander Carl Otto Westphal's father?;Hanover.;Kreuzlingen
Which film has the director born earlier, Jayam Manade or Bulldog Drummond'S Revenge?;Jayam Manade (1956);Bulldog Drummond'S Revenge
Which film has the director who is older, The Gamecock (Film) or Monster A Go-Go?;Monster A Go-Go.;Monster A Go-Go
Where was the place of death of Alessandro Vitelli's father?;Rome.;Florence
Where was the performer of song Bag Skyerne born?;Denmark;Århus
Are both directors of films 16 To Life and Saved By The Belles from the same country?;No.;yes
Where was the mother of Francis Ii Of France born?;Spain.;Florence
Who was born later, Marc De Clerck or Wiesław Perszke?;Wiesław Perszke;Wiesław Perszke
Which film has the director born later, Jesse James' Women or Ride Lonesome?;Ride Lonesome.;Ride Lonesome
What nationality is the director of film Madeleine (1950 Film)?;Swiss;British
Which film has the director died first, Edge Of Doom or A Mother'S Secret?;Edge Of Doom;A Mother'S Secret
Which song was released earlier, 1990-Sick (Get 'Em All) or Who'S Laughing Now (Song)?;1990-Sick (Get 'Em All);1990-Sick (Get 'Em All)
Where did the director of film Desolation Angels (1995 Film) graduate from?;University of Southern California.;State University of New York at Purchase
When did Richard Annesley, 2Nd Earl Annesley's father die?;1770.;2 September 1770
Which film has the director died earlier, Lemonade Joe or Bountiful Summer?;Lemonade Joe.;Bountiful Summer
What is the date of death of Conan Ii, Duke Of Brittany's mother?;1067;1080
When was the director of film Reykjavík-Rotterdam born?;1967.;30 June 1963
What is the place of birth of Eiludd Powys's father?;Wales;Wales
Where was the director of film At The End Of The Tunnel born?;Argentina.;Rosario
When was Ferdinand Iii Of Limburg Stirum's father born?;1684.;1701
Which country the director of film Ulzhan is from?;Kazakhstan.;German
Who is Prince Franz De Paula Of Liechtenstein's paternal grandfather?;Prince Franz Joseph II of Liechtenstein.;Franz Joseph I
What is the place of birth of Samir Rifai's father?;Irbid, Jordan.;Amman
Who is the paternal grandmother of Archduchess Dolores Of Austria?;Sophie, Duchess of Hohenberg.;Princess Maria Immaculata of Bourbon-Two Sicilies
Which film has the director died first, Two For Tonight or Light Over Russia?;Two For Tonight;Two For Tonight
What is the place of birth of the director of film Peter'S Friends?;London, England.;Belfast
Where was the composer of film Love Story 1999 born?;Belarus.;Tamil
Who is the father of Beltrán Vélez De Guevara, Marquis Of Campo Real?;Antonio Vélez de Guevara.;Íñigo Vélez de Guevara, 7th Count of Oñate
Which film whose director is younger, Jeedar or The Rebel Set?;The Rebel Set;Jeedar
Where was the mother of Antonio Flores born?;In the Philippines.;Jerez de la Frontera
What is the place of birth of the performer of song Down Ass Bitch?;Los Angeles, California.;Queens
What is the place of birth of Empress Xu (Ming Dynasty)'s husband?;Beijing, China.;Nanjing
Which film came out earlier, Niyoti or Angali Pangali?;Niyoti.;Niyoti
Which country Aleksandra Marianna Wiesiołowska's father is from?;Poland;Polish–Lithuanian Commonwealth
Which country Tivala's father is from?;Brazil;Maurya dynasty
Who is the paternal grandmother of King Kang Of Zhou?;Queen Jiang.;Yi Jiang
Which film has the director who died first, The Face Of Fu Manchu or The Hidden One?;The Face Of Fu Manchu.;The Hidden One
What is the place of birth of the director of film Double Or Nothing (1940 Film)?;Miami, Florida.;New Brunswick, New Jersey
Which film whose director was born first, The Great Flamarion or The Hollars?;The Great Flamarion.;The Great Flamarion
Do both directors of films Dangerous To Know and Les Côtelettes have the same nationality?;No.;yes
Are both villages, Mavrolithari and Ampelakia, Evros, located in the same country?;Yes.;yes
Where was the place of death of the director of film Kathputli (1971 Film)?;Mumbai, India.;Bombay
Where did the director of film Ręce Do Góry study?;Wrocław University.;National Film School in Łódź
Where was the place of death of Suzanne Farrington's mother?;London, England.;London
What nationality is the director of film Name The Man?;American.;Swedish
Do Kreesha Turner and Samantha Jo share the same nationality?;Yes.;yes
What is the place of birth of the director of film Aurora (2018 Film)?;Romania;Davao
Which film has the director born later, Befikre or American Sniper?;Befikre.;Befikre
When is Prince Napoléon Bonaparte's father's birthday?;15 August 1769;15 November 1784
Which film was released more recently, Toolbox Murders or I Met You In Naples?;I Met You In Naples.;Toolbox Murders
Where was the place of death of the composer of song How Long Has This Been Going On??;California;Hollywood
Which film has the director died earlier, Youngblood Hawke (Film) or Crook'S Tour?;Youngblood Hawke.;Crook'S Tour
Where did William S. Burroughs Jr.'s father study?;Harvard.;Harvard
Which film has the director who was born earlier, Circus Beely or Tom, Dick And Harry 2?;Circus Beely.;Circus Beely
Who is the maternal grandmother of Felipe De Marichalar Y Borbón?;Queen Sofia of Spain.;Queen Sofía of Spain
Are the directors of both films The Fall Of A Saint and Fighting Through from the same country?;Yes.;no
Which country Natalie Portman's husband is from?;France.;French
Who is the father-in-law of Tsandzile Ndwandwe?;King Mswati III;Ndvungunye
Which film has the director born earlier, Mister Scarface or Waking Sleeping Beauty?;Mister Scarface.;Mister Scarface
What is the place of birth of the performer of song Hunter (Björk Song)?;Iceland.;Reykjavík
Who is the paternal grandfather of Richard Beauchamp, 1St Earl Of Worcester?;Thomas de Beauchamp;Thomas de Beauchamp
Who is the spouse of the director of film Carol'S Journey?;Alex Brendemühl.;María Barranco
Which film has the director born later, Diary Of A Maniac or Return Of The Hero?;"""Diary Of A Maniac""";Return Of The Hero
Where was the father of Augustus William, Duke Of Brunswick-Bevern born?;Vienna, Austria.;Osterholz
Who is the mother-in-law of Lollia Paulina?;Messalina;Agrippina the Elder
Which film was released more recently, Gaza Ghetto or Kull The Conqueror?;Gaza Ghetto.;Kull The Conqueror
Who was born earlier, Raúl Osorio or James B. Harris?;James B. Harris.;James B. Harris
When was the company that published Woman'S Century founded?;1944;October 27, 1893
Who is Charles Willoughby, 10Th Baron Willoughby Of Parham's paternal grandmother?;Elizabeth Herbert.;Lady Frances Manners
Which film has the director who died earlier, Deuce High or The King Is The Best Mayor?;The King Is The Best Mayor.;The King Is The Best Mayor
Which film was released earlier, Premium (Film) or Week-End With Father?;Week-End With Father;Week-End With Father
What nationality is Gevherhan Sultan (Daughter Of Selim Ii)'s father?;Ottoman Empire.;Ottoman Empire
Are both Țerova and Slava (River) located in the same country?;Yes.;yes
Are Graduate University Of Advanced Technology and Fruita Schoolhouse located in the same country?;No.;no
Who is the paternal grandmother of Prince William Of Hesse-Kassel?;Queen Victoria.;Princess Mary of Great Britain
Where did the presenter of Tim Russert (Talk Show) die?;Washington, D.C.;Washington
Which film has the director who died earlier, 11 Harrowhouse or A Little Sister Of Everybody?;11 Harrowhouse.;A Little Sister Of Everybody
What is the place of birth of the director of film The Last Horror Movie?;England.;Newport
Which film has the director who is older, The Woman In The Fifth or End Of Winter?;The Woman In The Fifth.;The Woman In The Fifth
Which film has the director who is older, The Girl King or Happy As The Grass Was Green?;"The director of ""Happy As The Grass Was Green.""";Happy As The Grass Was Green
Who is George Fitzroy, 1St Duke Of Northumberland's stepmother?;Elizabeth FitzRoy;Catherine of Braganza
Where does the director of film Ghost In The Machine (Film) work at?;Rachel Talalay - BBC.;University of British Columbia
Are Elsah, Illinois and Chah-E Puzeh, Tabas both located in the same country?;No.;no
Who is the paternal grandmother of Louis, Count Of Verdun?;Judith of Bavaria.;Gerberge of Lorraine
What nationality is Anne Of Burgundy's father?;French.;France
Which film has the director who was born later, All The Gold In The World or The Crowning Touch?;The director of All The Gold In The World was born later.;The Crowning Touch
Who lived longer, Csaba Pálinkás or Henry Scheffé?;Henry Scheffé;Henry Scheffé
Which film was released more recently, Pirates Of The Prairie or Alien Origin?;Alien Origin.;Alien Origin
Who is the mother of Edward I Of England?;Eleanor of Castile.;Eleanor of Provence
What is the date of death of Joan, Countess Of Blois's mother?;September 12, 1247.;2 August 1288
Which album came out first, Issa Album or 3.2.1.?;Issa Album.;3.2.1.
Who is Sancho Ramírez's maternal grandfather?;King Sancho III of Pamplona.;Bernard-Roger, Count of Bigorre
Which film was released earlier, New Jersey Drive or It Happened At The World'S Fair?;It Happened at the World's Fair.;It Happened At The World'S Fair
Who is the spouse of the performer of song Lolita (Leah Labelle Song)?;Rasual Butler.;Rasual Butler
Do director of film Winter Meeting and director of film Year Of The Horse have the same nationality?;Yes.;no
Where does Chris Warren (Rugby League)'s father work at?;St George Illawarra Dragons.;Nine Network
Where did Davey Boy Smith Jr.'s mother study?;Calgary.;Stampede Wrestling
Which country Thomas Lyon-Bowes, Lord Glamis's father is from?;Scotland;British
What nationality is the performer of song Adore You (Jessie Ware Song)?;British;United Kingdom
Which film whose director is younger, Dallas 362 or Revenge Of The Barbarians?;Dallas 362.;Dallas 362
Which film has the director born earlier, Spring Storms or Fun In The Barracks?;Spring Storms;Fun In The Barracks
Where was the father of Andrew Balding born?;USA.;US
Which film was released earlier, Anna-Liisa or Children Underground?;Children Underground.;Anna-Liisa
Are Arnold Palmer Regional Airport and Luis Muñoz Marín International Airport located in the same country?;No.;yes
Which award the composer of film Pataakha won?;Filmfare Award for Best Background Score;National Film Award for Best Music Direction
What is the place of birth of the performer of song Damage (Pharoahe Monch Song)?;Queens, New York City;Queens
Where did Henry C. Lord's father graduate from?;Yale.;Bowdoin College
Which film whose director is younger, Uncharted Seas or Something Of Value?;Uncharted Seas.;Something Of Value
Which film has the director born later, My Own Private Idaho or Lucignolo?;Lucignolo.;Lucignolo
What is the date of birth of Prince Bernhard Of Orange-Nassau, Van Vollenhoven's father?;November 29, 1911.;April 30, 1939
Are the bands The Catheters and Dark At Dawn, from the same country?;No.;no
Who is the paternal grandmother of Ingegerd Olofsdotter Of Sweden?;Sigrid the Haughty.;Sigrid the Haughty
Where was the place of death of the creator of Conan The Adventurer (1992 Tv Series)?;Ireland;Cross Plains
Are the directors of films The Swordsman (Upcoming Film) and Shopworn both from the same country?;No.;no
Are The Man Who Knew Too Much (1956 Film) and Man On Wire both from the same country?;No.;yes
What is the place of birth of the director of film The Fj Holden?;Australia.;Sydney, Australia
Who was born later, Lisbeth Cathrine Amalie Rose or Princess Raiyah Bint Hussein?;Princess Raiyah Bint Hussein;Princess Raiyah Bint Hussein
Where was the performer of song Step Into The Light (Myra Song) born?;Denver, Colorado, USA.;California
Which country the director of film One Night At Mccool'S is from?;The director is from the USA.;Norwegian
Who is the paternal grandfather of Beatrice I, Abbess Of Quedlinburg?;Henry I of Germany.;Conrad II
Who is the paternal grandmother of John Iii, Duke Of Cleves?;Maria of Jülich-Berg.;Elizabeth of Nevers
Where was the place of death of George Thomas Orlando Bridgeman's father?;Walsall Wood, England.;Weston Park
What nationality is Imperial Noble Consort Chunhui's husband?;Chinese.;Qing dynasty
Which film has the director who died later, Say It With Flowers or Boot Hill Bandits?;Say It With Flowers.;Boot Hill Bandits
Who is younger, Nicolas Görtler or Michel De Salzmann?;Nicolas Görtler.;Nicolas Görtler
Which country Anthemiolus's father is from?;Anthemiolus's father is from Greece.;Roman Empire
Where was the place of burial of the performer of song This Time (Waylon Jennings Song)?;Arizona.;Arizona
Who is Charles D'Orléans, Duke Of Penthièvre's paternal grandfather?;Louis Philippe II, Duke of Orléans.;Louis Philippe II, Duke of Orléans
Which film has the director who is older than the other, Judy Berlin or Tonight At Twelve? ;Judy Berlin;Tonight At Twelve
What nationality is Ferdinand Of Portugal, Duke Of Guarda's mother?;Spanish.;Spanish
Did the movies Passer L'Hiver and In My Skin, originate from the same country?;Yes.;yes
Are both director of film Germany, Year Zero and director of film Cross Shot from the same country?;No.;yes
Which film has the director who was born first, Ghost-Town Gold or The Musician Killer?;Ghost-Town Gold (1900);Ghost-Town Gold
What is the place of birth of Consort Liang's husband?;Shaanxi.;Chinese
Where did Muza Niyazova's husband die?;Jail;Ashgabat
Are both stations, Muzaffargarh Railway Station and Raisan Railway Station, located in the same country?;Yes.;yes
Do John Amyas Alexander and Albert Seward share the same nationality?;Yes.;yes
Who is younger, Bernard Chambaz or Tibor Pézsa?;Tibor Pézsa;Bernard Chambaz
Which award the composer of film Bhookh (1947 Film) won?;Padma Shri;Sangeet Natak Akademi Award
