Prompt;Response;Ground Truth
"The Woman in White
The Woman in White may refer to:

Which film has the director born first, Once A Gentleman or The Girl In White?";"The director of ""Once A Gentleman"" was born first.";Once A Gentleman
"The Trial of Joan of Arc
The Trial of Joan of Arc () is a 1962 French historical film directed by Robert Bresson. Joan of Arc is played by Florence Delay.

Which film has the director who died earlier, Il Seduttore or The Trial Of Joan Of Arc?";The director of Il Seduttore died earlier.;The Trial Of Joan Of Arc
"Thomas Jefferson (film)
Thomas Jefferson is a 1997 two-part American documentary film directed and produced by Ken Burns. It covers the life and times of Thomas Jefferson, the 3rd President of the United States.

Where was the director of film Thomas Jefferson (Film) born?";Michigan;Brooklyn
"Grand Duke George of Russia
There have been several dynasts of Russian Imperial House whose name is George: Currently, also son of Maria Vladimirovna of Russia, uses the designation Grand Duke George Mikhailovitch of Russia.

Why did Grand Duke Kirill Vladimirovich Of Russia's wife die?";Complications during surgery.;stroke
"Where's the Love (disambiguation)
"" Where's the Love"" is a 1997 song by Hanson. Where's the Love may also refer to:"" Where's the Love"" should not be confused with:

Where was the place of death of the director of film Beat Girl?";Spain;Nice
"John Sheppard (VC)
Sheppard was 37 years old, and a Boatswain's Mate in the Royal Navy, serving with the Naval Brigade during the Crimean War when the following deed took place for which he was awarded the VC.

Who died first, Fleetwood Sheppard or George William Whitaker?";Fleetwood Sheppard;Fleetwood Sheppard
"Il était une fois l’indépendance
Il était une fois l’indépendance is a 2009 Malian film.

Which film has the director born first, The Raven'S Dance or Keïta! L'Héritage Du Griot?";Keïta! L'Héritage Du Griot.;The Raven'S Dance
"Jean Martin (disambiguation)
Jean Martin may refer to:

When did Jean Martin (Singer)'s husband die?";1991;1983
"The Last Ride of the Dalton Gang
The Last Ride of the Dalton Gang is a 1979 television film directed by Dan Curtis about the Dalton Gang. It is not entirely accurate, as noted at the film's beginning.

Which film has the director who died earlier, Tangled Destinies or The Daltons' Women?";Tangled Destinies;Tangled Destinies
"It's a Wonderful Life
Due to all the above actions, this is one of the few RKO films not controlled by Turner Entertainment / Warner Bros. in the USA. It is also one of two Capra films Paramount owns despite not having originally released it -- the other is Broadway Bill (originally from Columbia, remade by Paramount as Riding High in 1950).

Which film was released earlier, Moment Of Danger or The Ballad Of Josie?";Moment of Danger;Moment Of Danger
"Film manifesto
There have been a number of manifestos related to film. These propose the author/ s feelings and briefing on the how and why of film:

What nationality is the director of film World And Time Enough?";British;United States
"Spectre (2015 film)
A sequel to Spectre will begin development in spring 2016. Sam Mendes has stated he will not return to direct the next 007 film. Christoph Waltz has signed on for two more films in the series, but his return depends on whether or not Craig will again portray Bond.

Which film has the director died earlier, Poker In Bed or The Machine To Kill Bad People?";Poker In Bed.;The Machine To Kill Bad People
"Sarah Prefers to Run
Sarah Prefers to Run is a 2013 Canadian drama film written and directed by Chloé Robichaud. It was screened in the Un Certain Regard section at the 2013 Cannes Film Festival. It won the Women in Film& Television Vancouver Artistic Merit Award at the 2013 Vancouver International Film Festival.

Which film whose director is younger, Heads I Win, Tails You Lose or The Incredible Sarah?";The Incredible Sarah.;Heads I Win, Tails You Lose
"Catherine of Pomerania, Countess Palatine of Neumarkt
Catherine of Pomerania( German:"" Katharina von Pommern""; c. 1390- 4 March 1426), was a Pomeranian princess and Countess Palatine of Neumarkt. She was the wife of John, Count Palatine of Neumarkt and the mother of Christopher of Bavaria, who would rule over Denmark, Sweden, and Norway as king of the Kalmar Union.

Who is Catherine Of Pomerania, Countess Palatine Of Neumarkt's father-in-law?";King Rupert of Germany.;Rupert
"Nǃai, the Story of a ǃKung Woman
Nǃai, the Story of a ǃKung Woman is a documentary film by ethnographic filmmaker John Marshall. The film was first broadcast in 1980 as part of the Odyssey series on PBS and is distributed by Documentary Educational Resources. It provides a broad overview of Juǀʼhoan life, both past and present, and an intimate portrait of Nǃai, a Juǀʼhoan woman who in 1978 was in her mid-thirties. Nǃai tells her own story, and in so doing, the story of Juǀʼhoan life.

Who is Marie Zéphyrine Of France's paternal grandmother?";Maria Josepha of Saxony.;Marie Leszczyńska
"Who Saw Her Die?
Who Saw Her Die? is a 1972 Italian ""giallo"" film directed by Aldo Lado and Vittorio De Sisti, starring Anita Strindberg and George Lazenby. Lazenby and Strindberg play the parents of a murdered girl, who pursue her black-veiled killer throughout Venice. "" Who Saw Her Die? "" features music by Ennio Morricone, and has seen positive reviews for Lazenby's performance.

Which film has the director died earlier, Condemned Women or Faces In The Dark?";"The director of ""Condemned Women"" died earlier than the director of ""Faces In The Dark.""";Condemned Women
"Eden (2006 film)
Eden is a 2006 German film directed by Michael Hofmann in which a chef falls for a married woman.

Who is the spouse of the director of film Eden And After?";No information available.;Catherine Robbe-Grillet
"Anastasia (sister of Constantine I)
Anastasia was the daughter of Roman Emperor Constantius Chlorus and Flavia Maximiana Theodora, and half sister of Emperor Constantine I. Anastasia was associated with a plot to assassinate Constantine. Her husband, Bassianus, was found to be plotting against Constantine.

Where was the place of death of Anastasia Of Serbia's husband?";Sirmium.;Hilandar
"The Tiger: An Old Hunter's Tale
The Tiger( also known as"" The Tiger: An Old Hunter's Tale"",; lit."" Big Tiger"") is a 2015 South Korean period action drama film about a hunter prepared to kill the last tiger of Joseon.

Are Fire In Hell and The Tiger: An Old Hunter'S Tale from the same country?";Yes.;yes
"Zappatore
Zappatore is an Italian drama film directed by Alfonso Brescia and starring Mario Merola. The film was released in Italy on 5 December 1980. It is the"" cine- scripted"" which received the highest grossing theaters, ranking the 60th place of the most successful films in Italy in the 1980/ 81 season. The film is loosely based on the eponymous song, written by Libero Bovio and Albano.

Which film was released more recently, Lo Zappatore or Placer Sangriento?";Placer Sangriento;Placer Sangriento
"Saint Gwenfyl
Saint Gwenfyl was an early Welsh Christian saint from the Brychan family. Little is known of her life.

Was Şemsettin Baş or Gwenc'Hlan Le Scouëzec born first?";Şemsettin Baş;Gwenc'Hlan Le Scouëzec
"Bhoomiyude Avakashikal
Bhoomiyude Avakashikal ( English:"" The Inheritors of the Earth"") is a 2012 Malayalam feature film written and directed by T. V. Chandran. The film stars Kailash in the lead role along with Sreenivasan and Mythili who play pivotal supporting roles. The film was produced by Anand Kumar under the banner of Yes Cinema and it was mainly shot in Nelliyampathi, Ottappalam and Shoranur in Kerala. "" Bhoomiyude Avakashikal"" is the third and last installment of T. V. Chandran's trilogy on 2002 Gujarat riots. The first one was,"" Kathavasheshan""( 2004), it was followed by"" Vilapangalkkappuram""( 2008). The narratives of all these films begin on the same day, 28 February 2002, that is, on the day after the Godhra train burning in Gujarat. "" Bhoomiyude Avakashikal"" tells the story of Mohanachandran Nair, who is driven away from Ahmadabad following the Gujarat riots and who eventually loses his job and even his identity and ultimately lands up in a secluded house in Kerala, in the company of insects and animals with whom he shares his thoughts, concerns, doubts and frustrations. The film was shot digitally to reduce costs as it was required to film several insects and animals in their natural habitat. The film premiered at the 43rd International Film Festival of India on 27 November 2012. It was also an official selection for the International Film Festival of Kerala.

Which film has the director born later, Bhoomiyude Avakashikal or The Majesty Of The Law?";The Majesty Of The Law;Bhoomiyude Avakashikal
"Cornelia (wife of Caesar)
Cornelia (c. 97 – c. 69 BC) was the first or second wife of Caesar, and the mother of his only daughter, Julia. A daughter of Lucius Cornelius Cinna, Cornelia was related by birth or marriage to many of the most influential figures of the late Republic.

Who is Cornelia (Wife Of Caesar)'s child-in-law?";Pompeia.;Pompey
"John Middleton Murry Jr.
John Middleton Murry Jr. (9 May 1926 – 31 March 2002) was an English writer who used the names Colin Murry and Richard Cowper.

Why did John Middleton Murry's wife die?";Alcoholism.;tuberculosis
"Taj al-Dawla
Abu'l- Husain Ahmad, better known by his"" laqab"" of Taj al- Dawla( Arabic: تاج الدولة،,"" Crown of the Dynasty""), was the Buyid ruler of Khuzestan during the 980s. He was the son of' Adud al- Dawla.

Who is the paternal grandfather of Taj Al-Dawla?";Rukn al-Dawla.;Rukn al-Dawla
"Maciej Ślesicki
Maciej Wojciech Slesicki (born 1966 in Warsaw) is a Polish film director and screenwriter, co-founder and lecturer at the Warsaw Film School.

Do both films Payment On Demand and My Cousin From Warsaw have the directors from the same country?";Yes.;yes
"Film manifesto
There have been a number of manifestos related to film. These propose the author/ s feelings and briefing on the how and why of film:

What is the place of birth of the director of film And The Spring Comes?";Iran;Xi'an
"James T. O'Donohoe
James T. O'Donohoe( 1898 – 27 August 1928 in Los Angeles, California) born James Thomas Langton O'Donohoe was a screenwriter in the early days of Hollywood, during the silent film era. His films include"" Kindred of the Dust""( 1922),"" The Lucky Lady""( 1926),"" What Price Glory?""( 1926),"" The Spaniard""( 1926),"" Two Arabian Knights""( 1927),"" Red Lips""( 1928), and"" Show Girl""( 1928).

Who died first, Madame Pasca or James A. Donohoe?";Madame Pasca.;Madame Pasca
"D'Arcy Coulson
John D' Arcy Coulson( February 17, 1908 – April 13, 1996) was a Canadian professional ice hockey defenceman who played one season in the National Hockey League for the Philadelphia Quakers. Born in Sudbury, Ontario and raised in Ottawa, he first played for the Ottawa Shamrocks of the OCHL in 1927. He played for the Quakers in the 1930 – 31 season, scoring no goals in the NHL but ranking third in the league in penalty minutes that season. After leaving hockey, Coulson, whose father owned hotels in Sudbury, Ottawa and Hawkesbury and a golf club in Aylmer, Quebec, joined the family business. The hotel in Sudbury, although no longer owned by the Coulson family, is still named the Coulson Hotel.

Who was born later, D'Arcy Coulson or Thomas William Adams?";D'Arcy Coulson;D'Arcy Coulson
"Saginaw High School
Saginaw High School( part of the Saginaw City School District) is located in Saginaw, Michigan, USA. The student enrollment is 593 students. The school's mission statement is"" Saginaw High is committed to ensuring a safe and academic environment where the students will become academically proficient, life long learners, and productive citizens.""

Are Simonds Catholic College and Saginaw High School (Texas) both located in the same country?";No.;no
"Prince Nikolaus Wilhelm of Nassau
Prince Nikolaus Wilhelm of Nassau (20 September 1832 – 17 September 1905), was the only son of William, Duke of Nassau by his second wife Princess Pauline of Württemberg.

Which country Prince Nikolaus Wilhelm Of Nassau's mother is from?";Württemberg;German
"Academy Award for Best Director
Wins Director John Ford Frank Capra William Wyler Frank Borzage Clint Eastwood Miloš Forman Alejandro G. Iñárritu Elia Kazan David Lean Ang Lee Frank Lloyd Joseph L. Mankiewicz Leo McCarey Lewis Milestone Steven Spielberg George Stevens Oliver Stone Billy Wilder Robert Wise Fred Zinnemann

Which film whose director was born first, 45 Fathers or The Intended?";45 Fathers;45 Fathers
"Alexandre Berthier, 3rd Prince of Wagram
Louis Philippe Marie ""Alexandre"" Berthier, 3rd Prince of Wagram (24 March 1836, Paris – 15 July 1911, Château de Grosbois) was a French nobleman and prince of Wagram. He was the son of Napoléon Alexandre Berthier and Zénaïde Françoise Clary and grandson of Louis Alexandre Berthier.

Who is the paternal grandfather of Alexandre Berthier, 3Rd Prince Of Wagram?";Louis Alexandre Berthier.;Louis-Alexandre Berthier
"Caterina Visconti
Caterina Visconti (1361 – 17 October 1404) was Duchess of Milan as the second spouse of Gian Galeazzo Visconti, the first Duke of Milan, and was the mother of two succeeding Dukes of Milan, Gian Maria and Filippo Maria Visconti. Caterina served as Regent of Milan from 1402 to 1404, during her elder son's minority, but due to Gian Maria's suspicion of her alleged treason (planted in his mind by her enemy, the condottiero Facino Cane), he had his mother arrested and imprisoned in the castle of Monza, where she was presumably poisoned in 1404.

Where was the husband of Caterina Visconti born?";Gian Galeazzo Visconti was born in Milan.;Pavia
"The Film That Changed My Life
The Film That Changed My Life( also known as"" The Film That Changed My Life: 30 Directors on Their Epiphanies in the Dark"") is a non-fiction collection of interviews compiled by American journalist, author and film columnist Robert K. Elder. The book presents interviews with thirty famous directors who share stories about the movies that affected their career paths and directing styles.

Which film has the director who was born later, A Quiet Place In The Country or When Were You Born?";When Were You Born?;A Quiet Place In The Country
"List of people born at sea
This is a list of notable people born at sea.

Who was born first, John Beach or Gordon Persons?";John Beach;John Beach
"Charlie Chan in Honolulu
Charlie Chan in Honolulu is a 1939 American film directed by H. Bruce Humberstone, starring Sidney Toler as the fictional Chinese- American detective Charlie Chan. The film is the first appearance of both Toler as Chan and Victor Sen Yung as"" number two son"" Jimmy.

Which film has the director born earlier, The House By The Cemetery or Charlie Chan In Honolulu?";The House By The Cemetery.;Charlie Chan In Honolulu
"Paco León
Francisco León Barrios( was born 4 October 1974), known as Paco León is a Spanish actor, producer, philanthropist and director. Born in Seville, his first television experiences were playing in the comedy"" Mariquilla Ríe Perlas"" and"" Castillos en el Aire"" on Canal Sur. He was a host of the variety TV show"" Cita a Ciegas"" and of the TV game show"" Triunfa en Casa"". He also played the role of Maria in the comedy"" Moncloa, ¿ Dígame?"" on Telecinco. But his real trampoline to fame was the Antena 3 comedy sketch show Homo Zapping, in which he immediately stood out from among the cast. He has returned to Telecinco with the role of Luisma in Aída.

Who is the child of the director of film La Leona (Film)?";Paco León.;Víctor Bó
"Blanche of Portugal (1259–1321)
Blanche of Portugal (25 February 1259 in Santarém, – 17 April 1321 in Burgos; Branca in Portuguese and Blanca in Spanish), was an ""infanta"", the firstborn child of King Afonso III of Portugal and his second wife Beatrice of Castile. Named after her great-aunt Blanche of Castile, queen of France, Blanche was the Lady of Las Huelgas, Montemor-o-Velho, Alcocer and Briviesca, the city which she founded.

Who is Blanche Of Portugal (1259–1321)'s paternal grandmother?";Berengaria of Barcelona;Urraca of Castile
"Per amore di Cesarina
Per amore di Cesarina("" For Love of Cesarina"") is a 1976 Italian comedy film directed by Vittorio Sindoni.

Who lived longer, Giuseppe Cesari or Nicos Poulantzas?";Nicos Poulantzas;Giuseppe Cesari
"Fernando Fragata
Filmmaker Fernando Fragata started his career in Portugal with the short film Love& Alchemy, which won him several International awards for best short film and best director. His other Portuguese films include the romantic comedy Sweet Nightmare and the critically acclaimed action comedy Chasing Life( Pulsação Zero). In 2004 he wrote and directed the mystery crime The Trunk( Sorte Nula), which became the top grossing Portuguese film of that year. Backlight came in 2010 and again broke box office records in his home country.

Are director of film Nights On The Road and director of film Swann In Love (Film) from the same country?";No.;yes
"Aryeh Ben-Eliezer
Aryeh Ben-Eliezer( 16 December 1913 – 29 January 1970) was a Revisionist Zionist leader, Irgun member and Israeli politician.

Who is older, Aryeh Ben-Eliezer or Jason Pociask?";Aryeh Ben-Eliezer;Aryeh Ben-Eliezer
"Bath stone
Bath Stone has been used extensively as a building material throughout southern England, for churches, houses, and public buildings such as railway stations.

Where does the director of film Man At Bath work at?";Arthur Delaire works at a marketing firm.;Cahiers du cinéma
"Arthur Gore, 2nd Earl of Arran
Arthur Saunders Gore, 2nd Earl of Arran KP, PC( Ire)( 25 July 1734 – 8 October 1809) styled The Honourable Arthur Gore from 1758 to 1762 and Viscount Sudley from 1762 to 1773, was an Irish peer and politician. Arran was the eldest son of Arthur Gore, 1st Earl of Arran, and Jane Saunders. He was elected to the Irish House of Commons for Donegal Borough in 1759, a seat he held until 1761 and again from 1768 to 1774 and also represented Wexford County between 1761 and 1768. In 1773 he succeeded his father as second Earl of Arran and entered the Irish House of Lords. Arran was also appointed High Sheriff of County Wexford in 1757 and High Sheriff of Mayo in 1765. He was admitted to the Irish Privy Council in 1771 and in 1783 he was invested as one of the original sixteen Knights of the Order of St Patrick.

Who is Arthur Gore, 2Nd Earl Of Arran's paternal grandfather?";Arthur Gore, 1st Earl of Arran.;Sir Arthur Gore, 2nd Baronet
"Kaufland
Kaufland is a German hypermarket chain, part of the Schwarz Gruppe which also owns Lidl and Handelshof. It opened its first store in 1984 in Neckarsulm and quickly expanded to become a leader in what was formerly East Germany. The chain operates over 1,200 stores in Germany, the Czech Republic, Slovakia, Poland, Romania, Bulgaria, Croatia and Moldova. Kaufland plans to open stores in Australia.

Are both Kaufland and Otrag located in the same country?";No.;yes
"Sarvam Thaala Mayam (soundtrack)
The soundtrack album for the film Sarvam Thaala Mayam consists of six feature songs plus instrumental tracks. The film's director Menon has also composed a song which Rahman has curated.

Which film came out earlier, Aanaval Mothiram or Heroes Of The Street?";Aanaval Mothiram.;Heroes Of The Street
"John Crichton-Stuart, 4th Marquess of Bute
John Crichton- Stuart, 4th Marquess of Bute, KT( 20 June 1881 – 25 April 1947), was a Scottish peer.

Where was the father of Lord Patrick Crichton-Stuart born?";Isle of Bute.;London
"Policegiri
Policegiri recorded an average opening and did extremely poor multiplex business although single screens fared much better where it remained in theatres for three weeks recording 57 cr after its four-week run across India. The film was declared a average by Box Office India.

Which country the director of film Daadagiri is from?";India;Pakistan
"Felix Leiter
Felix Leiter is a fictional character created by Ian Fleming in the James Bond series. The character is an operative for the CIA and Bond's friend. After losing a leg and his hand to a shark attack, Leiter joined the Pinkerton Detective Agency. The name ``Felix ''comes from the middle name of Fleming's friend Ivar Bryce, while the name`` Leiter'' was the surname of Fleming's friend Marion Oates Leiter Charles, then wife of Thomas Leiter.

Where was the wife of Douglas Leiterman born?";Chicago.;Winnipeg, Manitoba
"Where Are You? (1937 song)
"" Where Are You?"" is a popular song composed by Jimmy McHugh, with lyrics by Harold Adamson. The song was written for the 1937 film"" Top of the Town"" and was originally performed by Gertrude Niesen. Niesen also made a commercial recording of the song for Brunswick Records and this was popular. "" Where Are You?"" has been recorded by many performers.

What is the place of birth of the performer of song Who...?";Germany;Fukuoka
"Mole Men Against the Son of Hercules
Mole Men Against the Son of Hercules(/"" Maciste, the Strongest Man in the World"") is a 1961 Italian"" peplum"" film directed by Antonio Leonviola and starring Mark Forest.

Where was the place of death of the director of film Mole Men Against The Son Of Hercules?";Rome.;Roma
"Mikhail Gaydamak
Mikhail Dmitriyevich Gaydamak( born 21 November 1996) is a Russian football player who plays for Volna Pinsk.

Where was the father of Alexandre Gaydamak born?";Russia;Moscow, USSR
"Toen 't licht verdween
Toen't licht verdween is a 1918 Dutch silent drama film directed by Maurits Binger.

Which film has the director who died earlier, Toen 'T Licht Verdween or Boum Sur Paris?";Toen 'T Licht Verdween (Maurits Binger).;Toen 'T Licht Verdween
"Gaston, Count of Eu
Prince Gaston of Orleans, Count of Eu (28 April 1842 – 28 August 1922), the first son of Louis, Duke of Nemours, and Princess Victoria of Saxe-Coburg and Gotha, was a French prince and military commander who fought in the Spanish-Moroccan War and the Paraguayan War. Gaston was married to Princess Isabel, heiress to the Brazilian throne.

Who is Gaston, Duke Of Orléans's paternal grandmother?";Queen Maria II of Portugal;Jeanne d'Albret
"The Half-Way Girl
The Half-Way Girl is a 1925 American silent drama film directed by John Francis Dillon that was filmed around the Jersey Shore.

Where was the director of film The Half-Way Girl born?";Jersey City, New Jersey.;New York
"Sophia of Wittelsbach
Sophia of Wittelsbach (1170–1238) was a daughter of Otto I Wittelsbach, who was Count Palatine and later Duke of Bavaria, and his wife Agnes of Loon. In 1196, Sophia married Landgrave Hermann I of Thuringia; she was his second wife. They had the following children:

Who is the father-in-law of Sophia Of Wittelsbach?";Otto I Wittelsbach;Louis II
"Henry I, Count of Louvain
Henry I was Count of Louvain from 1015 until 1038.

Where was the place of death of Lambert I, Count Of Louvain's father?";Leuven;Bohemia
"Highway Dragnet
Highway Dragnet is a 1954 film noir B film crime film directed by Nathan Juran from a story by U.S. Anderson and Roger Corman. The film stars Richard Conte, Joan Bennett and Wanda Hendrix.

Where was the director of film Highway Dragnet born?";Canada;Gura Humorului
"Prince Gustav of Thurn and Taxis
Prince Gustav Franz Maria of Thurn and Taxis, full German name:"" Gustav Franz Maria, Prinz von Thurn und Taxis""( 22 August 1888, Dresden, Kingdom of Saxony – 30 April 1919, Munich, Bavarian Soviet Republic), was a member of the House of Thurn and Taxis and a Prince of Thurn and Taxis by birth. As a member of the Thule Society, Gustav was killed by the Bavarian Soviet Republic government during the German Revolution of 1918 – 19.

Where did Prince Gustav Of Thurn And Taxis (1848–1914)'s mother die?";Ostend, Belgium.;Meran
"Bengal Film Journalists' Association
Best Male Playback Singer (Hindi) - Here is a list of the award winners and the films for which they won.

What is the award that the performer of song Sunday Papers earned?";BFJA Award;Grammy
"Edoardo Anton
Born in Rome as Edoardo Antonelli, Anton was the son of the playwright and journalist Luigi Antonelli. He entered the cinema industry in mid-thirties and soon became a prolific screenwriter specialized in comedy films. His work as filmmaker is marginal, mainly confined to the co-direction of a few international co-productions; the only work entirely attributable to him is ""Il lupo della frontiera"".

Which film has the director born first, Antonieta or Dodging The Dole?";Antonieta.;Dodging The Dole
"Nikolsk Airport
Nikolsk( also listed as Nikolsk South) is an airport in Russia located 5 km southeast of Nikolsk in Vologda Oblast. It is a small paved civilian airfield with parking area and administration buildings.

Are both Nikolsk Airport and Svobodny Airport located in the same country?";No.;yes
"Amadeus III, Count of Savoy
Amadeus III of Savoy (1095 – April 1148) was Count of Savoy and Maurienne from 1103 until his death. He was also known as a crusader.

Who is the maternal grandfather of Amadeus Vii, Count Of Savoy?";Amadeus III, Count of Savoy.;Peter I
"ZTR Control Systems
ZTR Control Systems is a privately held company based in London, Ontario, Canada and with an office in Minneapolis, Minnesota, USA. ZTR provides monitoring and control systems for the railway and industrial off- road compact construction equipment markets.

Are both businesses, Telus and Ztr Control Systems, located in the same country?";No. Telus is Canadian, ZTR Control Systems is in Canada and USA.;yes
"Universal Pictures
Laemmle, Jr. created a niche for the studio, beginning a series of horror films which extended into the 1940s, affectionately dubbed Universal Horror. Among them are Frankenstein (1931), Dracula ( also in 1931), The Mummy (1932) and The Invisible Man (1933). Other Laemmle productions of this period include Imitation of Life (1934) and My Man Godfrey (1936).

Do both films, Dial M For Murder and Marius (1931 Film), have the directors who are from the same country?";Yes.;yes
"Dyson Parody
Dyson Parody( born 7 August 1984) is a Gibraltarian professional darts player. Who played in Professional Darts Corporation events.

Who is older, Dyson Parody or Gene Watson?";Dyson Parody;Gene Watson
"Master Ghulam Haider
Master Ghulam Haider
,  (1908 – 9 November 1953) was a well-known music composer who worked both in India and later in Pakistan after independence. He changed the face of film songs by combining the popular Raags with the verve and rhythm of Punjabi music, and also helped raise the status of film music directors. He is also known for giving a break to the well-known playback singer, Lata Mangeshkar. In an interview, Lata Mangeshkar herself disclosed on her 84th birthday in 2013, ""Ghulam Haider is truly my Godfather. It was his confidence in me that he fought for me to tuck me into the Hindi Film Industry which otherwise had rejected me"". Remembering her early rejection, Lata once said, ""Ghulam Haider was the first music director who showed complete faith in my talent. He introduced me to many producers including ""S. Mukerji"", a big name in film production, but when he too declined me, Ghulam Haider was very furious. Hence, finally he convinced Bombay Talkies, a banner bigger than S. Mukerji and introduced me through their movie Majboor (1948 film)"".

Are both directors of films The Princess Bride (Film) and I Never Sang For My Father from the same country?";No.;yes
"Allied leaders of World War I
Nicholas II -- last Czar of Russia, titular King of Poland, and Grand Duke of Finland. His rule ended with the Russian Revolution. Nicholas was killed on 17 July 1918.

When did Prince John Konstantinovich Of Russia's mother die?";1917;24 March 1927
"Audofleda
Audofleda was a Gothic queen. She was the sister of Clovis I, King of the Franks. She married Theoderic the Great, King of the Ostrogoths (471–526), around 493 AD (exact date unknown). Theoderic sent an embassy to Clovis to request the marriage. This political move allied Theoderic with the Franks, and by marrying his daughters off to the kings of the Burgundians, the Vandals, and the Visigoths, he allied himself with every major 'Barbarian' kingdom in the West. Audofleda was a pagan prior to her marriage, and was baptised at the time of her wedding by an Arian bishop. Theoderic and Audofleda had one daughter, Amalasuntha, who ruled the Ostrogoths from 526 until 534.

Which country Audofleda's husband is from?";Ostrogoths.;Ostrogothic Kingdom
"Thailand Film Office
The Thailand Film Office is the official point of contact in the country for all activities involving filming and the making films in the Kingdom of Thailand. The film industry has a long and established history in Thailand and Hollywood has played an important role in the development of Thailand's film industry over the years. Thailand's King Vajiravudh,"" King Rama VI"", supported one of the first feature films made in Thailand, 1923's Miss Suwanna of Siam, a Hollywood co-production.

What is the place of birth of the director of film Letter To The King?";Sweden;Kurdish
"Snowman (band)
Snowman were a band originally from Perth, Western Australia. They relocated to London in 2008, and disbanded in 2011.

Are both bands, Snowman (Band) and Jessamine (Band), from the same country?";No. Snowman (Australia), Jessamine (USA).;no
"God (John Lennon song)
""God"" is a song from John Lennon's first post-Beatles solo album, ""John Lennon/Plastic Ono Band"". The album was released on 11 December 1970 in the United States and the United Kingdom.

Where was the performer of song God (John Lennon Song) born?";Liverpool, England;Liverpool
"Relax Freddie
Relax Freddie  is a 1966 Danish comedy film directed by Erik Balling and starring Morten Grunwald. It is a sequel to ""Strike first Freddy"".

Which film has the director who died earlier, Captain Kidd And The Slave Girl or Relax Freddie?";Captain Kidd And The Slave Girl;Captain Kidd And The Slave Girl
