Prompt;Response;Ground Truth
"Crimen a las tres is a Argentine crime film directed and written by Luis Saslavsky.

Which film has the director born first, Once A Gentleman or The Girl In White?";Once A Gentleman.;Once A Gentleman
"The Girl in White is a 1952 film drama directed by John Sturges. It is based on the memoirs of the pioneering female surgeon Emily Dunning Barringer.

Which film has the director who died earlier, Il Seduttore or The Trial Of Joan Of Arc?";Il Seduttore.;The Trial Of Joan Of Arc
"The Trial of Joan of Arc () is a 1962 French historical film directed by Robert Bresson. Joan of Arc is played by Florence Delay.

Where was the director of film Thomas Jefferson (Film) born?";Robert Bresson - France.;Brooklyn
"Thomas Jefferson is a 1997 two-part American documentary film directed and produced by Ken Burns. It covers the life and times of Thomas Jefferson, the 3rd President of the United States.

Why did Grand Duke Kirill Vladimirovich Of Russia's wife die?";Princess Victoria Melita of Saxe-Coburg died in a car accident in 1936.;stroke
"Grand Duchess Maria Kirillovna of Russia (2 February 1907 – 25 October 1951) was the eldest daughter of Grand Duke Kirill Vladimirovich of Russia and Grand Duchess Victoria Feodorovna. She was born in Coburg when her parents were in exile because their marriage had not been approved by Tsar Nicholas II. She was generally called Marie, the French version of her name, or by the Russian nickname Masha.  The family returned to Russia prior to World War I, but was forced to flee following the Russian Revolution of 1917.

Where was the place of death of the director of film Beat Girl?";Los Angeles;Nice
"Beat Girl is a 1960 British teen exploitation film directed by Edmond T. Gréville. The film was released in the United States under the title Wild for Kicks. The title character of Beat Girl was played by starlet Gillian Hills, who later went on to have numerous small roles in 1960s and 1970s films, such as Blowup and A Clockwork Orange, and became a successful ye- ye singer in France.  Beat Girl marked the first film roles of British pop idol Adam Faith and actor Peter McEnery, although it was not released until after other films featuring Faith( Never Let Go) and McEnery( Tunes of Glory) had already come out. The film also features Christopher Lee and Nigel Green as strip joint operators, and Oliver Reed in a small role as one of the beat youth. The original music was composer John Barry's first film commission, and was performed by the John Barry Seven and Orchestra, Adam Faith, and Shirley Anne Field. The Beat Girl soundtrack was the first British soundtrack album to be released on a vinyl LP, and it reached number 11 on the UK Albums Chart, paving the way for the release of other film soundtrack albums.

Who died first, Fleetwood Sheppard or George William Whitaker?";Fleetwood Sheppard;Fleetwood Sheppard
"William Henry Harrison Sr. (February 9, 1773 -- April 4, 1841) was an American military officer, a principal contributor in the War of 1812, and the ninth president of the United States (1841). He was the last president born before the American Revolution, and died of pneumonia just 31 days into his term, thereby serving the shortest tenure in United States presidential history. He was the first president to die in office, and his death sparked a brief constitutional crisis. Its resolution left unsettled Constitutional questions as to the presidential line of succession until the passage of the Twenty - fifth Amendment to the United States Constitution in 1967. Harrison was a son of Founding Father Benjamin Harrison V and in turn was the paternal grandfather of Benjamin Harrison, the 23rd United States President (1889 -- 1893).

Which film has the director born first, The Raven'S Dance or Keïta! L'Héritage Du Griot?";The Raven'S Dance.;The Raven'S Dance
"The Raven's Dance is a 1980 Finnish film directed by Markku Lehmuskallio. It was entered into the 30th Berlin International Film Festival, where it won an Honourable Mention.

When did Jean Martin (Singer)'s husband die?";1991;1983
"Marilyn Martin( born May 4, 1954) is an American singer and songwriter. She is best known for her 1985 hit duet with Phil Collins, Separate Lives, her only Number 1.

Which film has the director who died earlier, Tangled Destinies or The Daltons' Women?";Tangled Destinies.;Tangled Destinies
"Tangled Lives is a 1917 American silent drama film produced and distributed by the Fox Film Corporation. The film was directed by J. Gordon Edwards and starred husband and wife stage actors Genevieve Hamper and Robert B. Mantell. This film is a version of the Wilkie Collins novel The Woman in White. Several versions of this novel have been produced over the years, one in 1912, two in 1917 including this film, a 1929 talkie, and a remake in 1948.

Which film was released earlier, Moment Of Danger or The Ballad Of Josie?";The Ballad Of Josie;Moment Of Danger
"The Allure of Danger  is a 1950 West German drama film directed by Eugen York and starring Angelika Hauff, Walter Richter and Berta Drews. It was screened at the 1950 Venice Film Festival. It was shot at the Wandsbek Studios and on location around Hamburg. The film's sets were designed by the art director Mathias Matthies.

What nationality is the director of film World And Time Enough?";West German.;United States
"World and Time Enough is a 1994 independent gay-themed romantic comedy-drama written and directed by Eric Mueller and starring Gregory Giles, Matt Guidry and Kraig Swartz. It was filmed on location in Edina and Minneapolis, Minnesota.

Which film has the director died earlier, Poker In Bed or The Machine To Kill Bad People?";"""The Machine To Kill Bad People""";The Machine To Kill Bad People
"The Machine to Kill Bad People (Italian: La Macchina ammazzacattivi) is a 1952 Italian fantasy comedy film directed by Roberto Rossellini and featuring Marilyn Buferd, William Tubbs and Clara Bindi. It is part of the tradition of neorealism of the post-war years. Having helped neorealism gain international recognition with his 1945 work Rome, Open City, Rossellini was trying to branch out into different styles.

Which film whose director is younger, Heads I Win, Tails You Lose or The Incredible Sarah?";Heads I Win, Tails You Lose;Heads I Win, Tails You Lose
"Heads I Win, Tails You Lose( also known as Heads or Tails) is a 1982 Italian comedy film written and directed by Nanni Loy. The film consists in two back- to- back stories that deals with two taboo themes, the celibacy of the clergy in the episode of Renato Pozzetto and the homosexuality in the one with Nino Manfredi.

Who is Catherine Of Pomerania, Countess Palatine Of Neumarkt's father-in-law?";Holy Roman Emperor Sigismund;Rupert
"Catherine of Pomerania( German: Katharina von Pommern; c. 1390- 4 March 1426), was a Pomeranian princess and Countess Palatine of Neumarkt. She was the wife of John, Count Palatine of Neumarkt and the mother of Christopher of Bavaria, who would rule over Denmark, Sweden, and Norway as king of the Kalmar Union.

Who is Marie Zéphyrine Of France's paternal grandmother?";Catherine of Pomerania.;Marie Leszczyńska
"Marie-Anne Lagimodière (née Gaboury; 15 August 1780 – 14 December 1875) was a French-Canadian woman noted as both the grandmother of Louis Riel, and as the first woman of European descent to travel to and settle in what is now Western Canada.

Which film has the director died earlier, Condemned Women or Faces In The Dark?";Condemned Women.;Condemned Women
"Woman in the Dark is a 1934 American crime drama film directed by Phil Rosen and based on a 1933 short story by Dashiell Hammett. It was filmed at Biograph Studios by Select Pictures and released by RKO Radio Pictures.

Who is the spouse of the director of film Eden And After?";Caroline Deruas;Catherine Robbe-Grillet
"Eden and After  is a 1970 French-Czechoslovak drama art film directed by Alain Robbe-Grillet. It was entered into the 20th Berlin International Film Festival.

Where was the place of death of Anastasia Of Serbia's husband?";Vienna;Hilandar
"Ana ; 1196–d. June 22, 1200) was the princess consort of the Serbian Principality as the wife of Stefan Nemanja (r. 1166–1196). She was of noble descent. Ana took monastic vows in 1196 and was baptized Anastasia, after Anastasia of Sirmium. She is venerated by the Serbian Orthodox Church as Saint Anastasija ( ) with her feast day on June 22 (Julian calendar).

Are Fire In Hell and The Tiger: An Old Hunter'S Tale from the same country?";Yes.;yes
"A Tiger's Tale is a 1987 American comedy-drama film starring Ann-Margret and C. Thomas Howell, written and directed by Peter Douglas, based on the novel Love and Other Natural Disasters by Allen Hannay III.

Which film was released more recently, Lo Zappatore or Placer Sangriento?";Placer Sangriento.;Placer Sangriento
"Placer sangriento is a 1967 Argentine film.

Was Şemsettin Baş or Gwenc'Hlan Le Scouëzec born first?";Şemsettin Baş;Gwenc'Hlan Le Scouëzec
"Loïc Gwenc'hlan Le Scouëzec( 11 November 1929, Plouescat, Finistère – 6 February 2008) was a Breton writer and Grand Druid of Brittany.

Which film has the director born later, Bhoomiyude Avakashikal or The Majesty Of The Law?";Bhoomiyude Avakashikal;Bhoomiyude Avakashikal
"The Majesty of the Law is a 1915 American drama silent film written and directed by Julia Crawford Ivers. The film stars George Fawcett( in his film debut), Jane Wolfe, William Desmond, Myrtle Stedman, John Oaker and Charlie Ruggles. The film was released on August 26, 1915, by Paramount Pictures.

Who is Cornelia (Wife Of Caesar)'s child-in-law?";Cleopatra;Pompey
"Cornelia (c. 97 – c. 69 BC) was the first or second wife of Caesar, and the mother of his only daughter, Julia. A daughter of Lucius Cornelius Cinna, Cornelia was related by birth or marriage to many of the most influential figures of the late Republic.

Why did John Middleton Murry's wife die?";Pneumonia.;tuberculosis
"Henry Willoughby, 6th Baron Middleton (24 April 1761 – 19 June 1835), was an English nobleman, the only son of Henry Willoughby, 5th Baron Middleton. He married Jane Lawley, daughter of Sir Robert Lawley, 5th Baronet, and lived in the family seat at Wollaton Park, Nottinghamshire, which he had extensively remodeled under the direction of Sir Jeffry Wyattville. Lord Middleton was a keen fox hunter and was a regular follower of the Warwickshire Hunt. In 1811, he purchased the pack from the hunt's founder John Corbet, for 1,200 guineas. He remained the hunt's Master until 1821, when following a fall from his favourite horse Billy Button, he passed on the mastership to Evelyn Shirley of Ettington Hall. Lord Middleton had no children. Lord Middleton's memorial is in St. Leonard's Church, Wollaton.

Who is the paternal grandfather of Taj Al-Dawla?";Henry Willoughby, 5th Baron Middleton.;Rukn al-Dawla
"Rukn- ud- din Ala al- Dawla Mirza, also spelt Ala ud- Dawla and Ala ud- Daula,( 1417 – 1460) was a Timurid prince and a grandson of the Central Asian ruler Shah Rukh. Following his grandfather's death, Ala al- Dawla became embroiled in the ensuing succession struggle. Though he initially possessed a strategic advantage, he was eventually overtaken by his more successful rivals. Ala al- Dawla died in exile after numerous failed attempts to gain the throne.

Do both films Payment On Demand and My Cousin From Warsaw have the directors from the same country?";No.;yes
"My Cousin from Warsaw is a 1931 French- German comedy film directed by Carmine Gallone and starring Elvire Popesco, André Roanne and Madeleine Lambert. The films screenplay was adapted by Henri-Georges Clouzot. A separate German- language version was also made. The film's art direction was by Julius von Borsody.

What is the place of birth of the director of film And The Spring Comes?";Italy.;Xi'an
"And the Spring Comes is a 2007 film directed by Gu Changwei, written by Li Qiang. This is Gu's second feature following his acclaimed feature debut Peacock. The film premiered at the 2007 Rome Film Festival, and the lead actress Jiang Wenli, also Gu Changwei's wife, won the Best Actress award.

Who died first, Madame Pasca or James A. Donohoe?";Madame Pasca.;Madame Pasca
"Alice Marie Angèle Pasquier (November 16, 1833 – May 25, 1914), better known by her stage name Madame Pasca and also known as Alix-Marie Pasquier, was a French stage actress.

Who was born later, D'Arcy Coulson or Thomas William Adams?";D'Arcy Coulson.;D'Arcy Coulson
"Waightstill Avery( 10 May 1741 – 15 March 1821) was an early American lawyer and officer in the North Carolina militia during the American Revolution. He is noted for fighting a duel with future U.S. president Andrew Jackson in 1788.

Are Simonds Catholic College and Saginaw High School (Texas) both located in the same country?";No.;no
"Simonds Catholic College is a Roman Catholic school for boys located in Melbourne. The school consists of two campuses. The St Mary's campus( years 7- 10) is in West Melbourne and is within walking distance of the Queen Victoria Market. The St Brigid's campus( Years 11- 12) is in Fitzroy North. The college is an associate member of the Associated Catholic Colleges History Simonds was formed in 1996 through the amalgamation of Cathedral College, East Melbourne and St Mary's Boys School. In 2010, the former St Brigid's Primary School in North Fitzroy was renovated, and a new senior campus of the college was opened there. The school is named after Justin Simonds, the first ever Australian born Archbishop who served as Archbishop of Melbourne from 1963- 67. He also served as parish priest of St Mary ’s where the Years 7- 10 campus is located. Houses Students at Simonds are placed into houses at the start of commencement of year 7 and remain in the same house until Graduation. The schools houses are Goold, Knox, Manix, Polding. Each house is named after a previous Archbishop of Melbourne Throughout the year students are awarded points for their houses through house sports, co-curriculum activities, academic performance and many more ways. The main house competitions are the Swimming Carnival and the Athletics Carnival. Both held in term 1. High performing students in these events are selected to represent the school in the Associated Catholic Colleges Swimming and Athletics Championships

Which country Prince Nikolaus Wilhelm Of Nassau's mother is from?";France.;German
"Prince Nikolaus Wilhelm of Nassau (20 September 1832 – 17 September 1905), was the only son of William, Duke of Nassau by his second wife Princess Pauline of Württemberg.

Which film whose director was born first, 45 Fathers or The Intended?";45 Fathers.;45 Fathers
"45 Fathers is a 1937 American comedy film directed by James Tinling, written by Frances Hyland and Albert Ray, and starring Jane Withers, Thomas Beck, Louise Henry, Richard Carle, Nella Walker and Andrew Tombes. It was released on November 26, 1937, by 20th Century Fox.

Who is the paternal grandfather of Alexandre Berthier, 3Rd Prince Of Wagram?";Count Louis Auguste Le Tonnelier de Breteuil.;Louis-Alexandre Berthier
"Louis Philippe Marie Alexandre Berthier, 3rd Prince of Wagram (24 March 1836, Paris – 15 July 1911, Château de Grosbois) was a French nobleman and prince of Wagram. He was the son of Napoléon Alexandre Berthier and Zénaïde Françoise Clary and grandson of Louis Alexandre Berthier.

Where was the husband of Caterina Visconti born?";Paris;Pavia
"Violante (Jolantha) Visconti (1354 – November 1386) was the second of three children of Galeazzo II Visconti, Lord of Milan and Pavia, and Bianca of Savoy. Her father gave to her the provinces of Alba, Mondovì, Kenites, Cherasco, and Demonte as an inheritance. As a 13-year-old, with the promise of a large dowry from her father, in addition to her territories, she was married to the third son of King Edward III of England, Lionel of Antwerp, 1st Duke of Clarence, in the church of Santa Maria Maggiore, predecessor of the Cathedral of Santa Maria Nascente, Milan, on 28 May 1368. The wedding festivities were lavish and ostentatious. The banquet, held outside, included 30 courses of meat and fish presented fully gilded. Between the courses the guests were given gifts such as suits of armor, bolts of cloth, war horses, arms, and hunting dogs. Among the guests were Geoffrey Chaucer, Petrarch, Jean Froissart and John Hawkwood. The marriage was short-lived. Lionel died in Alba on 17 October that year, just five months after the wedding. His death may have been due to food poisoning. The Duchess of Clarence had no issue by the Duke. On 2 August 1377, Violante's father negotiated a second marriage, to Secondotto, Marquess of Montferrat. Sixteen months later, on 16 December 1378, Secondotto was assassinated after a battle at Piacenza (or Asti). They had no issue. On 18 April 1381, she married a third time to her cousin Ludovico Visconti, lord governor of Lodi and Parma. He was the son of her paternal uncle Bernabò Visconti and his wife, Beatrice Regina della Scala. They had a son, Giovanni Visconti, who was born after 1382. Barbara Tuchman suggests that her brother may have killed her third husband. Violante died in Pavia in November 1386, at the age of 32.

Which film has the director who was born later, A Quiet Place In The Country or When Were You Born?";A Quiet Place In The Country.;A Quiet Place In The Country
"A Quiet Place in the Country is a 1968 giallo thriller film directed by Elio Petri, and starring Franco Nero and Vanessa Redgrave. Based on the short story The Beckoning Fair One by Oliver Onions, its plot follows an artist who relocates to a rural villa with his girlfriend, where he begins to experience increasingly terrifying, apparently supernatural events.

Who was born first, John Beach or Gordon Persons?";John Beach;John Beach
"Nelson John Beach( September 21, 1800 Hebron, Tolland County, Connecticut- February 22, 1876 Watson, Lewis County, New York) was an American surveyor, businessman and politician from New York.

Which film has the director born earlier, The House By The Cemetery or Charlie Chan In Honolulu?";The House By The Cemetery.;Charlie Chan In Honolulu
"The House by the Cemetery is a 1981 Italian horror film directed by Lucio Fulci. The film stars Catriona MacColl, Paolo Malco, Ania Pieroni, Giovanni Frezza, Silvia Collatina and Dagmar Lassander. It s plot revolves around a series of murders taking place in a New England home – a home which happens to be hiding a gruesome secret within its basement walls.

Who is the child of the director of film La Leona (Film)?";Lucio Fulci.;Víctor Bó
"La Leona is a 1964 Argentine film directed by and starring Armando Bo with Isabel Sarli.

Who is Blanche Of Portugal (1259–1321)'s paternal grandmother?";Queen Beatrice of Castile.;Urraca of Castile
"Blanche of Portugal (25 February 1259 in Santarém, – 17 April 1321 in Burgos; Branca in Portuguese and Blanca in Spanish), was an infanta, the firstborn child of King Afonso III of Portugal and his second wife Beatrice of Castile. Named after her great-aunt Blanche of Castile, queen of France, Blanche was the Lady of Las Huelgas, Montemor-o-Velho, Alcocer and Briviesca, the city which she founded.

Who lived longer, Giuseppe Cesari or Nicos Poulantzas?";Giuseppe Cesari.;Giuseppe Cesari
"Francesco II Gattilusio (born Giacomo Gattilusio or Jacopo c. 1365 – 26 October 1403/1404) was the second Gattilusio lord of Lesbos, from 1384 to his death. He was the third son of Francesco I Gattilusio and Maria Palaiologina, the sister of the Byzantine emperor John V Palaiologos.

Are director of film Nights On The Road and director of film Swann In Love (Film) from the same country?";France.;yes
"Swann in Love , is a 1984 Franco-German film directed by Volker Schlöndorff. It is based on Marcel Proust's novel sequence In Search of Lost Time, specifically the first volume the title of which typically translates as . It was nominated for 2 BAFTA Film Awards.

Who is older, Aryeh Ben-Eliezer or Jason Pociask?";Aryeh Ben-Eliezer is older.;Aryeh Ben-Eliezer
"Aryeh Ben-Eliezer( 16 December 1913 – 29 January 1970) was a Revisionist Zionist leader, Irgun member and Israeli politician.

Where does the director of film Man At Bath work at?";Christchurch Art Gallery;Cahiers du cinéma
"Man at Bath is a 2010 French film by Christophe Honoré starring François Sagat and Chiara Mastroianni. The film premiered in competition at Locarno International Film Festival in Switzerland in 2010 and was released in cinemas on 22 September 2010. This is gay pornographic actor François Sagat's second major role in general release non-pornographic film as Emmanuel after his role in L.A. Zombie. Director Christopher Honoré told French gay website Yagg.com that he was interested in Sagat because he redefines the notion of masculinity. Sagat was the only actor to feature in two competition entries during the festival.

Who is Arthur Gore, 2Nd Earl Of Arran's paternal grandfather?";Arthur Gore, 2nd Earl of Arran's paternal grandfather is Arthur Gore, 1st Earl of Arran.;Sir Arthur Gore, 2nd Baronet
"Arthur Gore, 1st Earl of Arran PC (Ire) (1703 – 17 April 1773), known as Sir Arthur Gore, 3rd Baronet from 1741 to 1757 and as Viscount Sudley from 1758 to 1762, was an Irish politician. Arran was the son of Sir Arthur Gore, 2nd Baronet, and Elizabeth Annesley, and was educated at Trinity College, Dublin. In 1727 he was elected to the Irish House of Commons for Donegal Borough, a seat he held until 1758. He was also High Sheriff of Wexford in 1738 and was admitted to the Irish Privy Council in 1748. In 1758 he was raised to the Peerage of Ireland as Baron Saunders, of Deeps in the County of Wexford, and Viscount Sudley, of Castle Gore in the County of Mayo. In 1762 he was further honoured when he was created Earl of Arran, of the Arran Islands in the County of Galway. This was the third occasion that the title Earl of Arran had been created in the Peerage of Ireland. His sister Anne married John Browne, the 1st Earl of Altamont in December 1729. Lord Arran married Jane Saunders, daughter of Richard Saunders (a grandson of the MP Henry Whitfield), in 1731. They had three sons and two daughters. He died in April 1773 and was succeeded in his titles by his eldest son Arthur.

Are both Kaufland and Otrag located in the same country?";No.;yes
"Europe is traditionally defined as one of seven continents. Physiographically, it is the northwestern peninsula of the larger landmass known as Eurasia (or the larger Afro - Eurasia); Asia occupies the eastern bulk of this continuous landmass and all share a common continental shelf. Europe's eastern frontier is delineated by the Ural Mountains in Russia. The southeast boundary with Asia is not universally defined, but the modern definition is generally the Ural River or, less commonly, the Emba River. The boundary continues to the Caspian Sea, the crest of the Caucasus Mountains (or, less commonly, the river Kura in the Caucasus), and on to the Black Sea. The Bosporus, the Sea of Marmara, and the Dardanelles conclude the Asian boundary. The Mediterranean Sea to the south separates Europe from Africa. The western boundary is the Atlantic Ocean. Iceland, though on the Mid-Atlantic Ridge and nearer to Greenland (North America) than mainland Europe, is generally included in Europe for cultural reasons and because it is over twice as close to mainland Europe than to mainland North America. There is ongoing debate on where the geographical centre of Europe falls.

Which film came out earlier, Aanaval Mothiram or Heroes Of The Street?";Aanaval Mothiram;Heroes Of The Street
"Street is a 1995 Indian Malayalam film, directed by Anil —Babu and produced by Koshi and Palamuttam Majeed. The film stars Babu Antony, Geetha, Baiju in the lead roles. Vikram played the antagonist. The film has musical score by Tomin Thachankari.

Where was the father of Lord Patrick Crichton-Stuart born?";Wales.;London
"Lieutenant- Colonel James Frederick Dudley Crichton- Stuart( 17 February 1824 – 24 October 1891) was a British soldier and Liberal politician. Crichton- Stuart was the son of Lord Patrick Crichton- Stuart and a great- great- grandson of Prime Minister John Stuart, 3rd Earl of Bute. His mother was Hannah, daughter of William Tighe, MP. He served with the Grenadier Guards and achieved the rank of Lieutenant- Colonel. In 1859 he was returned to Parliament for Cardiff, a seat previously held by his father, and represented this constituency in the House of Commons until 1880. Between 1859 and 1891 he also served as Lord- Lieutenant of Buteshire. Crichton- Stuart married Gertrude Frances, daughter of Sir George Hamilton Seymour, in 1864. They had several children. Crichton- Stuart died in October 1891, aged 67. His wife survived him by eighteen years and died in December 1909.

Which country the director of film Daadagiri is from?";India.;Pakistan
"Daadagiri is a 1997 Bollywood film directed by Arshad Khan starring Mithun Chakraborty, Ayub Khan, Simran, Rituparna Sengupta in lead roles and Puneet Issar, Nishigandha Wad, Shakti Kapoor and Kader Khan.

Where was the wife of Douglas Leiterman born?";Unknown;Winnipeg, Manitoba
"Lisa Tetzner (born in Zittau, Saxony on 10 November 1894; died on 2 July 1963 in Carona, Switzerland) was a German-born Swiss children's book writer known for her work with fairy-tales. In 1924 she married Kurt Held, a Jewish Communist.

What is the place of birth of the performer of song Who...?";Zittau.;Fukuoka
"The International Who's Who in Music is a biographical dictionary and directory originally published by the International Biographical Centre located in Cambridge, England. It contains only biographies of persons living at the time of publication and includes composers, performers, writers, and some music librarians. The biographies included are solicited from the subjects themselves and generally include date and place of birth, contact information as well as biographical background and achievements.

Where was the place of death of the director of film Mole Men Against The Son Of Hercules?";Rome.;Roma
"The Terror of Rome Against the Son of Hercules is a 1964 peplum film directed by Mario Caiano and starring Mark Forest and Marilù Tolo.

Where was the father of Alexandre Gaydamak born?";Kiev, Ukraine.;Moscow, USSR
"Nasser Gemayel( born 6 January 1951, in Ain- Kharroubé, Lebanon) is the first and current eparch of the Maronite Catholic Eparchy of Notre- Dame du Liban de Paris.

Which film has the director who died earlier, Toen 'T Licht Verdween or Boum Sur Paris?";Boum Sur Paris.;Toen 'T Licht Verdween
"Les Tontons flingueurs( also known as Monsieur Gangster, literally Gun-toting Uncles) is a 1963 French- Italian- German comedy crime film with French dialogue, directed by Georges Lautner. It is an adaptation of the Albert Simonin book Grisbi or not grisbi. The film is the final installment in the Max le Menteur trilogy; it was preceded by Touchez pas au grisbi and Le cave se rebiffe. The film was not popular with critics upon its first release in 1963, but was popular with the public. Its reputation has grown over the years to cult status and it is now a French television classic, with snatches of dialogue and names of characters( like the whore Lulu la Nantaise) becoming part of popular culture. Its DVD version, released in 2002, sold 250,000 copies. One of the most famous scenes is set in a kitchen where the gangsters try to make conversation while drinking a vile and strong liquor. Screenwriter Michel Audiard considered the scene useless but Lautner director included it in homage to the film noir Key Largo.

Who is Gaston, Duke Of Orléans's paternal grandmother?";Princess Margaretha of Sweden;Jeanne d'Albret
